date,open,high,low,close,volume
1999-02-12,1.3,1.3,1.3,1.3,10000
1999-02-15,1.32,1.34,1.32,1.34,266000
1999-02-16,1.36,1.4,1.36,1.4,212000
1999-02-17,1.4,1.54,1.4,1.52,4050000
1999-02-18,1.52,1.52,1.46,1.48,1236000
1999-02-19,1.5,1.52,1.46,1.46,305000
1999-02-22,1.48,1.48,1.4,1.44,856000
1999-02-23,1.48,1.48,1.4,1.46,755000
1999-02-24,1.42,1.42,1.3,1.32,2110000
1999-02-25,1.38,1.38,1.22,1.22,1815000
1999-02-26,1.2,1.26,1.2,1.22,1080000
1999-03-01,1.26,1.26,1.26,1.26,25000
1999-03-02,1.26,1.26,1.22,1.22,400000
1999-03-03,1.22,1.22,1.22,1.22,230000
1999-03-04,1.22,1.22,1.2,1.2,175000
1999-03-08,1.16,1.16,1.16,1.16,10000
1999-03-09,1.16,1.16,1.16,1.16,27000
1999-03-10,1.1,1.1,1.08,1.1,183000
1999-03-15,1.1,1.18,1.1,1.18,271000
1999-03-18,1.18,1.18,1.18,1.18,50000
1999-03-19,1.2,1.2,1.16,1.18,134000
1999-03-22,1.2,1.28,1.2,1.28,250000
1999-03-23,1.3,1.38,1.3,1.34,572000
1999-03-24,1.34,1.34,1.26,1.3,300000
1999-03-25,1.28,1.28,1.28,1.28,110000
1999-03-26,1.24,1.24,1.24,1.24,10000
1999-03-29,1.2,1.2,1.2,1.2,101000
1999-03-30,1.2,1.2,1.2,1.2,150000
1999-03-31,1.24,1.24,1.24,1.24,57000
1999-04-05,1.28,1.28,1.28,1.28,101000
1999-04-06,1.6,1.76,1.48,1.76,6563000
1999-04-07,1.76,1.76,1.62,1.64,2032000
1999-04-08,1.68,1.68,1.56,1.66,2818000
1999-04-12,1.64,1.68,1.64,1.66,2273000
1999-04-13,1.66,1.66,1.66,1.66,1924000
1999-04-14,1.66,1.66,1.66,1.66,730000
1999-04-15,1.66,1.68,1.66,1.66,948000
1999-04-16,1.66,1.66,1.66,1.66,942000
1999-04-19,1.66,1.68,1.62,1.68,1353000
1999-04-20,1.66,1.68,1.66,1.68,2048000
1999-04-21,1.7,1.7,1.66,1.66,167000
1999-04-22,1.66,1.68,1.66,1.66,41000
1999-04-23,1.7,1.76,1.68,1.76,3211000
1999-04-26,1.78,1.86,1.78,1.8,313000
1999-04-27,1.76,1.8,1.76,1.76,410000
1999-04-28,1.76,1.78,1.76,1.76,728000
1999-04-29,1.76,1.94,1.76,1.92,1792000
1999-04-30,1.94,1.94,1.86,1.92,1133000
1999-05-04,1.92,2.06,1.8,2.06,5043000
1999-05-05,2.06,2.28,2.06,2.22,1869000
1999-05-06,2.12,2.5,2.12,2.48,1890000
1999-05-07,2.55,2.55,2.3,2.48,516000
1999-05-10,2.46,2.46,2.34,2.34,521000
1999-05-11,2.34,2.34,2.22,2.26,74000
1999-05-12,2.1,2.2,2.1,2.2,1029000
1999-05-13,2.3,2.42,2.2,2.28,426000
1999-05-14,2.36,2.55,2.36,2.5,4368000
1999-05-17,2.4,2.42,2.4,2.4,972000
1999-05-18,2.5,2.5,2.4,2.4,158000
1999-05-19,2.4,2.4,2.1,2.24,377000
1999-05-20,2.24,2.24,2.22,2.22,55000
1999-05-21,2.22,2.26,2.18,2.24,303000
1999-05-24,2.26,2.44,2.2,2.4,1231000
1999-05-25,2.4,2.4,2.32,2.4,475000
1999-05-26,2.4,2.4,2.32,2.38,435000
1999-05-27,2.38,2.5,2.38,2.5,1545000
1999-05-28,2.5,2.6,2.48,2.48,2939000
1999-05-31,2.46,2.46,2.4,2.4,580000
1999-06-02,2.26,2.38,2.26,2.36,60000
1999-06-03,2.2,2.2,2.2,2.2,175000
1999-06-04,2.2,2.2,2.1,2.2,501000
1999-06-07,2.3,2.3,2.1,2.3,281000
1999-06-08,2.32,2.4,2.3,2.3,110000
1999-06-09,2.3,2.3,2.18,2.18,50000
1999-06-10,2.1,2.1,2.1,2.1,55000
1999-06-11,2.1,2.1,2.02,2.08,197000
1999-06-14,2.08,2.16,2.06,2.06,4028000
1999-06-15,2.06,2.06,1.96,1.96,345000
1999-06-16,1.9,1.9,1.9,1.9,400000
1999-06-17,1.84,2.18,1.84,1.98,880000
1999-06-18,1.88,1.88,1.88,1.88,73000
1999-06-21,1.88,1.88,1.88,1.88,50000
1999-06-22,1.9,1.9,1.84,1.84,694000
1999-06-23,1.88,1.9,1.88,1.88,1049000
1999-06-24,1.98,1.98,1.86,1.88,133000
1999-06-25,1.86,1.9,1.86,1.88,3124000
1999-06-29,1.88,1.9,1.88,1.9,40000
1999-06-30,1.9,1.9,1.86,1.86,389000
1999-07-05,1.9,1.9,1.9,1.9,100000
1999-07-06,1.84,1.84,1.82,1.84,155000
1999-07-07,1.82,1.82,1.8,1.8,369000
1999-07-08,1.84,1.9,1.84,1.9,105000
1999-07-09,1.94,1.94,1.94,1.94,20000
1999-07-13,1.82,1.82,1.78,1.78,110000
1999-07-14,1.78,1.78,1.78,1.78,140000
1999-07-16,1.8,1.8,1.8,1.8,30000
1999-07-19,1.8,1.8,1.8,1.8,50000
1999-07-20,1.8,1.8,1.8,1.8,7000
