date,open,high,low,close,volume
2013-07-25,0.34,5.99,0.01,2.99,11719000
2013-07-26,2.9,2.9,2.5,2.64,55000
2013-07-29,2.52,2.52,1.7,2.19,1285000
2013-07-30,2.19,2.19,1.94,1.96,151000
2013-07-31,1.78,1.99,1.78,1.99,10000
2013-08-05,1.79,1.96,1.77,1.96,82000
2013-08-07,1.98,1.98,1.68,1.68,6000
2013-08-08,1.95,1.95,1.95,1.95,1000
2013-08-12,1.94,1.94,1.72,1.93,9000
2013-08-14,1.73,1.75,1.7,1.75,59000
2013-08-15,1.88,1.89,1.86,1.89,37000
2013-08-16,1.73,1.73,1.72,1.72,3000
2013-08-22,1.9,1.92,1.75,1.75,104000
2013-08-23,1.86,2.3,1.82,2.3,67000
2013-08-28,2.2,2.25,2.2,2.2,10000
2013-08-29,2.06,2.06,1.9,1.9,35000
2013-08-30,2.2,2.2,2.2,2.2,1000
2013-09-03,2.1,3.04,2.05,2.2,1027000
2013-09-04,2.2,2.2,2.02,2.19,86000
2013-09-05,2.07,2.07,2.02,2.02,14000
2013-09-06,2.03,2.29,2.0,2.02,160000
2013-09-09,2.42,2.42,2.0,2.13,55000
2013-09-10,2.02,2.13,2.02,2.03,35000
2013-09-11,2.02,2.23,2.0,2.1,39000
2013-09-13,2.03,2.19,2.01,2.01,33000
2013-09-16,2.01,2.2,2.0,2.15,20000
2013-09-17,2.0,2.0,2.0,2.0,2000
2013-09-18,2.0,2.0,1.93,1.99,93000
2013-09-19,2.15,2.15,2.15,2.15,1000
2013-09-20,1.95,1.95,1.95,1.95,6000
2013-09-25,2.0,2.0,1.95,1.95,12000
2013-09-26,2.03,2.12,2.03,2.03,5000
2013-09-27,2.03,2.03,2.03,2.03,6000
2013-09-30,1.99,1.99,1.98,1.98,8000
2013-10-01,1.96,1.96,1.96,1.96,3000
2013-10-04,1.98,1.98,1.98,1.98,3000
2013-10-07,1.96,1.96,1.95,1.95,2000
2013-10-09,2.0,2.09,2.0,2.09,22000
2013-10-10,2.09,2.2,2.05,2.15,19000
2013-10-11,2.2,2.2,2.06,2.06,6000
2013-10-14,2.2,2.2,2.19,2.2,19000
2013-10-16,2.1,2.1,2.1,2.1,10000
2013-10-18,2.09,2.09,2.08,2.08,22000
2013-10-21,2.09,2.09,2.03,2.03,4000
2013-10-22,2.05,2.08,2.05,2.08,7000
2013-10-24,2.12,2.5,2.12,2.18,242000
2013-10-25,2.22,2.22,2.22,2.22,47000
2013-10-29,2.17,2.35,2.16,2.16,31000
2013-10-30,2.2,2.39,2.2,2.39,137000
2013-10-31,2.48,2.48,2.23,2.34,29000
2013-11-04,2.23,2.34,2.23,2.25,8000
2013-11-05,2.24,2.48,2.24,2.34,72000
2013-11-06,2.46,2.46,2.25,2.31,92000
2013-11-07,2.26,2.36,2.26,2.36,15000
2013-11-08,2.3,3.45,2.3,3.0,1441000
2013-11-11,3.05,4.5,3.05,4.47,1227000
2013-11-12,4.65,6.5,4.65,6.02,1121000
2013-11-13,6.03,6.99,5.04,5.1,1135500
2013-11-14,5.09,5.09,4.02,4.07,571700
2013-11-15,4.1,4.1,3.51,3.51,89000
2013-11-18,2.7,3.51,2.7,3.18,61000
2013-11-19,3.48,3.79,3.2,3.2,49000
2013-11-20,3.12,3.55,3.12,3.3,60000
2013-11-21,3.28,3.28,2.9,2.96,60000
2013-11-22,2.9,2.9,2.7,2.7,113000
2013-11-25,2.8,2.83,2.79,2.79,30000
2013-11-26,2.75,2.75,2.2,2.2,32000
2013-11-27,2.0,2.35,2.0,2.2,130000
2013-11-28,2.2,2.2,2.01,2.1,19000
2013-11-29,2.2,2.25,2.2,2.2,31000
2013-12-02,2.1,3.0,2.02,2.6,58000
2013-12-03,2.98,3.0,2.6,2.6,23000
