date,open,high,low,close,volume
1999-03-24,1.0,1.0,1.0,1.0,54000
1999-03-29,0.66,0.66,0.65,0.66,70000
1999-04-13,0.66,0.66,0.66,0.66,20000
1999-04-30,0.67,0.67,0.67,0.67,60000
1999-05-10,0.85,0.85,0.85,0.85,20000
1999-05-14,0.85,1.0,0.85,1.0,70000
1999-05-21,1.0,1.1,1.0,1.1,30000
1999-05-24,1.1,1.1,1.1,1.1,30000
1999-05-27,1.1,1.1,1.1,1.1,3000
1999-06-01,0.71,0.71,0.71,0.71,21000
1999-07-05,0.72,0.72,0.72,0.72,10000
1999-07-29,1.0,1.0,1.0,1.0,10000
1999-08-05,1.0,1.0,1.0,1.0,20000
1999-08-09,1.0,1.0,1.0,1.0,40000
1999-08-12,0.87,0.87,0.87,0.87,20000
1999-08-23,0.99,1.28,0.99,1.28,30000
1999-08-24,1.9,1.92,1.9,1.9,41000
1999-10-08,1.7,1.7,1.7,1.7,5000
1999-10-21,2.0,2.5,2.0,2.5,244000
1999-10-22,2.0,3.55,2.0,3.55,66105000
1999-10-25,3.55,3.55,3.55,3.55,18000
1999-11-04,2.5,2.5,2.5,2.5,5000
1999-11-17,2.5,2.5,2.5,2.5,5000
2000-03-30,2.5,2.5,2.5,2.5,59000
2000-04-11,1.5,1.5,1.5,1.5,9000
2000-04-13,1.5,1.5,1.5,1.5,12000
2000-04-14,1.5,1.5,1.5,1.5,3000
2000-04-26,1.3,1.3,1.3,1.3,1000
2000-04-27,1.24,1.4,1.24,1.4,12000
2000-04-28,1.44,1.44,1.44,1.44,2000
2000-05-02,1.7,1.8,1.46,1.8,61000
2000-05-03,1.8,2.1,1.8,2.1,84000
2000-05-04,1.9,1.9,1.9,1.9,74000
2000-05-05,1.9,1.9,1.9,1.9,186000
2000-05-08,1.9,1.9,1.9,1.9,200000
2000-05-10,1.9,1.9,1.9,1.9,294000
2000-05-12,1.8,1.8,1.8,1.8,50000
2000-05-15,1.72,1.72,1.72,1.72,50000
2000-05-16,1.62,1.62,1.62,1.62,45000
2000-05-19,1.6,1.6,1.6,1.6,5000
2000-05-26,1.52,1.52,1.52,1.52,120000
2000-06-27,1.52,1.52,1.52,1.52,1000
2000-07-24,1.0,1.0,1.0,1.0,20000
2000-07-28,1.0,1.1,1.0,1.1,30000
2000-08-07,1.08,1.1,1.08,1.1,12000
2000-08-15,1.1,1.1,1.1,1.1,2000
2000-08-23,1.1,1.1,1.1,1.1,1900000
2000-08-30,0.9,1.0,0.9,0.91,721000
2000-09-04,0.61,0.61,0.61,0.61,10000
2000-09-05,0.6,0.6,0.6,0.6,10000
2000-09-11,0.64,0.7,0.64,0.7,60000
2000-09-22,0.63,0.63,0.63,0.63,30000
2000-09-25,0.63,0.72,0.63,0.67,220000
2000-09-27,0.75,0.75,0.75,0.75,20000
2000-09-28,0.8,0.8,0.8,0.8,60000
2000-10-16,0.6,0.6,0.6,0.6,40000
2000-10-25,0.73,0.73,0.73,0.73,40000
2000-10-31,0.86,0.94,0.86,0.94,30000
2000-11-06,1.0,1.0,1.0,1.0,10000
2000-11-09,0.98,1.3,0.98,1.3,40000
2000-11-13,1.1,1.1,1.1,1.1,701000
2000-12-29,1.1,1.1,1.1,1.1,121494000
2001-01-05,1.0,1.0,0.8,1.0,332000
2001-01-10,1.0,1.0,1.0,1.0,200000
2001-01-11,1.02,1.02,1.02,1.02,20000
2001-01-12,1.04,1.04,1.0,1.04,180000
2001-01-26,0.85,0.85,0.85,0.85,359000
2001-01-29,0.85,1.0,0.85,1.0,50000
2001-02-26,1.0,1.28,1.0,1.28,160000
2001-02-27,1.48,1.52,0.8,1.28,390000
2001-02-28,1.28,1.28,1.24,1.24,514000
2001-03-16,1.0,1.0,1.0,1.0,7000
2001-03-19,1.0,1.0,1.0,1.0,870000
2001-04-25,0.61,0.61,0.61,0.61,20000
2001-07-24,0.61,0.61,0.6,0.6,120000
2001-08-28,0.5,0.5,0.5,0.5,100000
2001-09-04,0.32,0.4,0.32,0.4,990000
2001-09-05,0.36,0.36,0.36,0.36,100000
2001-09-06,0.36,0.4,0.36,0.4,380000
2001-09-11,0.34,0.34,0.34,0.34,10000
2001-09-18,0.4,0.4,0.4,0.4,10000
2001-09-25,0.32,0.32,0.32,0.32,20000
2001-10-03,0.4,0.4,0.4,0.4,20000
2002-03-05,0.4,0.4,0.4,0.4,10000
2002-04-22,0.31,0.31,0.31,0.31,100000
2002-04-25,0.3,0.3,0.3,0.3,40000
2002-04-29,0.3,0.3,0.3,0.3,200000
2002-06-18,0.25,0.25,0.25,0.25,10000
2002-06-21,0.36,0.36,0.36,0.36,10000
2002-07-31,0.3,0.3,0.3,0.3,50000
2002-08-08,0.3,0.3,0.3,0.3,50000
2002-09-05,0.3,0.3,0.3,0.3,80000
2002-09-13,0.3,0.3,0.3,0.3,280000
2002-10-07,0.3,0.3,0.3,0.3,10000
2002-11-04,0.3,0.3,0.3,0.3,10000
