date,open,high,low,close,volume
2007-11-21,1.42,1.42,1.42,1.42,3650000
2007-11-22,2.12,2.12,2.12,2.12,16285000
2007-11-23,3.15,3.15,3.15,3.15,15592000
2007-11-26,4.7,4.7,4.7,4.7,48000
2007-11-27,7.0,7.0,7.0,7.0,48000
2007-11-28,10.5,10.5,9.5,10.25,167000
2007-12-03,11.5,15.25,11.5,15.25,120000
2007-12-04,20.0,22.75,20.0,22.75,4145100
2007-12-05,25.5,28.0,22.0,23.0,1323600
2007-12-06,22.75,24.0,22.0,22.0,56800
2007-12-07,20.75,21.5,18.0,21.25,142700
2007-12-10,21.5,21.5,18.75,19.0,394900
2007-12-11,19.5,19.5,18.0,18.25,76600
2007-12-12,19.0,19.5,18.25,19.0,6500
2007-12-13,19.0,19.0,19.0,19.0,17000
2007-12-14,18.75,18.75,17.75,18.0,60800
2007-12-17,16.75,18.0,16.75,18.0,200
2007-12-18,16.0,17.5,15.25,16.75,12900
2007-12-19,16.0,16.0,15.75,16.0,3000
2007-12-20,17.0,17.0,15.75,17.0,12600
2007-12-21,16.0,17.0,16.0,16.25,16500
2007-12-26,16.75,16.75,16.75,16.75,100
2007-12-27,19.0,19.0,16.0,17.0,8300
2007-12-28,16.0,16.0,16.0,16.0,1000
2008-01-02,17.0,18.0,15.5,16.25,918100
2008-01-03,16.0,16.25,16.0,16.25,21900
2008-01-04,16.0,16.0,15.5,16.0,37100
2008-01-07,15.5,15.5,15.25,15.25,28500
2008-01-08,15.0,15.0,15.0,15.0,300
2008-01-09,15.0,15.0,14.75,15.0,13600
2008-01-10,15.0,15.0,15.0,15.0,2000
2008-01-11,16.0,17.0,14.5,14.5,21100
2008-01-14,14.25,15.0,13.75,14.5,5400
2008-01-15,14.25,14.25,12.0,13.25,20200
2008-01-16,13.25,14.0,11.25,11.5,14600
2008-01-17,11.25,11.75,11.25,11.5,13000
2008-01-21,11.0,11.0,10.0,11.0,64000
2008-01-22,10.0,10.0,9.8,9.8,7000
2008-01-23,9.8,10.0,9.8,10.0,2000
2008-01-25,10.75,10.75,10.75,10.75,1000
2008-01-28,11.0,11.5,11.0,11.0,22800
2008-01-29,11.25,11.75,11.25,11.75,94000
2008-01-30,11.5,15.0,11.5,14.0,329900
2008-01-31,14.0,14.25,13.5,13.75,67300
