date,open,high,low,close,volume
1999-02-04,0.25,0.25,0.25,0.25,20000
1999-03-02,0.25,0.25,0.25,0.25,20000
1999-03-31,0.25,0.25,0.25,0.25,20000
1999-04-08,0.28,0.29,0.28,0.29,50000
1999-04-14,0.25,0.25,0.25,0.25,200000
1999-04-16,0.25,0.25,0.25,0.25,400000
1999-04-21,0.25,0.25,0.25,0.25,30000
1999-04-23,0.25,0.25,0.25,0.25,20000
1999-05-04,0.25,0.25,0.25,0.25,20000
1999-05-07,0.3,0.3,0.25,0.25,210000
1999-05-11,0.3,0.3,0.3,0.3,150000
1999-05-12,0.3,0.3,0.3,0.3,10000
1999-05-14,0.3,0.32,0.3,0.32,90000
1999-05-19,0.32,0.32,0.32,0.32,90000
1999-05-20,0.32,0.32,0.32,0.32,30000
1999-06-10,0.2,0.2,0.2,0.2,90000
1999-06-17,0.3,0.3,0.3,0.3,60000
1999-06-21,0.34,0.34,0.34,0.34,20000
1999-06-22,0.4,0.45,0.4,0.45,60000
1999-06-23,0.36,0.36,0.36,0.36,100000
1999-06-24,0.44,0.44,0.44,0.44,20000
1999-06-28,0.5,0.5,0.44,0.44,40000
1999-06-29,0.5,0.5,0.5,0.5,20000
1999-06-30,0.44,0.44,0.44,0.44,40000
1999-07-05,0.53,0.54,0.53,0.54,30000
1999-07-06,0.46,0.46,0.46,0.46,20000
1999-07-07,0.56,0.56,0.56,0.56,40000
1999-07-08,0.58,0.68,0.58,0.68,360000
1999-07-09,0.69,0.86,0.69,0.86,850000
1999-07-12,0.85,0.85,0.84,0.84,110000
1999-07-13,1.0,1.0,1.0,1.0,10000
1999-07-19,0.6,0.85,0.6,0.85,130000
1999-07-30,0.55,0.55,0.55,0.55,20000
1999-08-02,0.41,0.41,0.41,0.41,40000
1999-08-06,0.61,0.61,0.59,0.59,20000
1999-08-09,0.6,0.6,0.6,0.6,70000
1999-08-10,0.6,0.6,0.6,0.6,60000
1999-08-12,0.6,0.6,0.6,0.6,90000
1999-08-17,0.6,0.6,0.6,0.6,150000
1999-08-18,0.65,0.65,0.65,0.65,10000
1999-08-20,0.63,0.63,0.6,0.6,50000
1999-08-24,0.63,0.65,0.63,0.65,120000
1999-08-25,0.7,0.7,0.7,0.7,70000
1999-08-27,0.71,0.71,0.71,0.71,40000
1999-08-31,0.7,0.7,0.7,0.7,20000
1999-09-01,0.65,0.65,0.61,0.61,80000
1999-09-02,0.6,0.6,0.6,0.6,40000
1999-09-13,0.75,0.85,0.75,0.8,210000
1999-09-17,1.0,1.34,1.0,1.16,1120000
1999-09-20,1.2,1.46,1.16,1.36,2279000
1999-09-21,1.4,1.4,1.24,1.28,636000
1999-09-22,1.2,1.26,1.18,1.26,115000
1999-09-23,1.2,1.24,1.2,1.24,604000
1999-09-24,1.2,1.24,1.2,1.24,418000
1999-09-27,1.22,1.4,1.22,1.38,768000
1999-09-28,1.42,1.74,1.42,1.48,1846000
1999-09-29,1.5,1.5,1.36,1.42,738000
1999-09-30,1.5,1.86,1.5,1.78,4546000
1999-10-01,1.8,2.65,1.8,2.65,8267000
1999-10-04,3.95,3.95,3.95,3.95,2634000
1999-10-05,5.9,5.9,4.8,5.9,25498000
1999-10-07,8.8,8.8,8.8,8.8,9316000
1999-10-08,13.0,13.0,13.0,13.0,11597000
1999-10-11,19.5,19.5,13.75,14.5,42172800
1999-10-12,14.0,14.0,8.7,8.7,23665100
1999-10-13,8.7,8.7,6.5,6.8,24668000
1999-10-14,7.1,7.7,5.1,5.7,22649000
1999-10-15,6.0,7.5,5.5,7.5,27972000
1999-10-18,7.9,8.3,6.6,6.7,20277000
1999-10-19,6.5,7.4,6.4,6.9,11862000
1999-10-20,7.1,7.2,6.3,6.4,3544000
1999-10-21,6.5,6.5,5.6,5.7,5179000
1999-10-22,5.5,5.9,5.2,5.4,4783000
1999-10-25,5.4,5.4,4.7,4.9,4363000
1999-10-26,4.6,5.4,4.35,5.1,9496000
1999-10-27,5.4,6.6,5.2,6.2,17042000
1999-10-28,6.3,6.6,5.7,5.9,9930000
1999-11-03,6.0,6.1,5.5,5.7,3505000
1999-11-04,5.7,6.0,5.7,5.7,3892000
1999-11-05,5.9,6.2,5.6,5.8,7014000
1999-11-08,5.9,5.9,5.3,5.3,3753000
1999-11-09,5.2,5.7,5.2,5.4,4128000
1999-11-10,5.5,5.5,5.1,5.3,3470000
1999-11-11,5.2,5.5,5.1,5.2,3859000
1999-11-12,5.4,5.7,5.1,5.2,4417000
1999-11-15,5.4,5.7,5.2,5.2,5495000
1999-11-16,5.4,5.4,5.0,5.2,3870000
1999-11-17,5.1,5.3,5.0,5.2,3891000
1999-11-18,5.2,5.3,5.1,5.1,2853000
