date,open,high,low,close,volume
1999-02-15,0.78,0.78,0.78,0.78,10000
1999-03-03,0.78,0.78,0.78,0.78,20000
1999-04-16,0.78,0.78,0.78,0.78,40000
1999-05-24,0.7,0.7,0.7,0.7,120000
1999-05-25,0.7,0.7,0.7,0.7,120000
1999-05-31,1.02,1.02,1.02,1.02,30000
1999-06-04,1.2,1.2,1.2,1.2,2000
1999-06-08,1.7,1.7,1.7,1.7,4000
1999-06-14,1.2,1.2,1.2,1.2,36000
1999-06-15,1.2,1.2,1.2,1.2,56000
1999-06-16,1.14,1.2,1.1,1.1,60000
1999-06-23,1.2,1.2,1.2,1.2,20000
1999-06-25,1.2,1.2,1.2,1.2,58000
1999-08-12,1.0,1.0,1.0,1.0,50000
1999-09-29,0.8,0.8,0.8,0.8,10000
1999-10-05,0.8,0.8,0.8,0.8,30000
1999-12-01,1.0,1.0,1.0,1.0,100000
1999-12-06,1.24,1.3,1.24,1.3,200000
1999-12-22,1.1,1.1,1.1,1.1,100000
1999-12-24,1.1,1.1,1.1,1.1,100000
1999-12-29,1.0,1.3,1.0,1.3,101000
2000-01-03,1.0,1.0,1.0,1.0,15000
2000-01-05,1.0,1.0,1.0,1.0,60000
2000-01-27,1.04,1.04,1.04,1.04,100000
2000-01-28,1.04,1.04,1.04,1.04,25000
2000-02-15,1.04,1.04,1.04,1.04,10000
2000-02-24,1.04,1.3,1.04,1.3,112000
2000-02-28,1.3,1.3,1.3,1.3,60000
2000-02-29,1.3,1.3,1.2,1.3,290000
2000-03-01,1.3,1.3,1.28,1.3,95000
2000-03-02,1.28,1.28,1.28,1.28,500000
2000-03-03,1.3,1.3,1.3,1.3,70000
2000-03-07,1.54,1.54,1.54,1.54,11000
2000-03-10,1.3,1.3,1.3,1.3,44000
2000-03-14,1.3,1.3,1.3,1.3,20000
2000-03-15,1.3,1.3,1.3,1.3,10000
2000-03-16,1.3,1.3,1.3,1.3,25000
2000-03-17,1.3,1.3,1.3,1.3,25000
2000-03-21,1.3,1.3,1.3,1.3,65000
2000-03-22,1.3,1.3,1.3,1.3,25000
2000-03-23,1.3,1.3,1.3,1.3,150000
2000-03-24,1.3,1.3,1.3,1.3,25000
2000-03-28,1.3,1.3,1.3,1.3,75000
2000-03-29,1.3,1.3,1.3,1.3,65000
2000-03-30,1.3,1.3,1.3,1.3,17000
2000-03-31,1.3,1.3,1.3,1.3,158000
2000-04-04,1.3,1.3,1.28,1.28,110000
2000-04-05,1.26,1.26,1.26,1.26,25000
2000-04-06,1.28,1.28,1.28,1.28,100000
2000-04-17,1.3,1.3,1.3,1.3,20000
2000-04-19,1.3,1.3,1.3,1.3,4000
2000-05-03,1.3,1.3,1.3,1.3,50000
2000-05-04,1.28,1.28,1.28,1.28,18000
2000-05-05,1.28,1.28,1.28,1.28,3000
2000-05-08,1.28,1.28,1.28,1.28,2000
2000-05-09,1.28,1.28,1.28,1.28,2000
2000-05-24,1.0,1.02,1.0,1.02,39000
2000-05-31,1.0,1.0,1.0,1.0,25000
2000-07-06,1.3,1.3,1.3,1.3,4000
2000-07-25,1.24,1.24,1.24,1.24,3000
2000-07-27,1.24,1.24,1.24,1.24,6000
2000-08-01,1.24,1.24,1.24,1.24,40000
2000-08-04,1.24,1.24,1.22,1.24,49000
2000-08-07,1.24,1.24,1.24,1.24,50000
2000-08-08,1.24,1.24,1.24,1.24,20000
2000-08-29,0.8,0.8,0.8,0.8,50000
2000-08-30,0.8,0.82,0.8,0.81,330000
2000-09-20,0.83,0.83,0.83,0.83,30000
2000-10-11,0.8,0.83,0.8,0.83,40000
2000-10-13,1.22,1.22,1.22,1.22,10000
