date,open,high,low,close,volume
1999-09-27,500.0,500.0,480.0,480.0,16580
1999-09-28,470.0,470.0,455.0,460.0,12190
1999-09-29,460.0,480.0,450.0,470.0,9360
1999-09-30,470.0,475.0,470.0,475.0,4490
1999-10-01,470.0,470.0,470.0,470.0,200
1999-10-04,460.0,465.0,440.0,460.0,8770
1999-10-05,440.0,450.0,430.0,450.0,5680
1999-10-06,450.0,450.0,450.0,450.0,7830
1999-10-07,430.0,450.0,430.0,450.0,7300
1999-10-08,450.0,450.0,450.0,450.0,3040
1999-10-11,450.0,450.0,430.0,430.0,3460
1999-10-12,430.0,450.0,430.0,440.0,3940
1999-10-13,440.0,450.0,440.0,450.0,8200
1999-10-14,450.0,450.0,450.0,450.0,2000
1999-10-15,450.0,452.5,450.0,450.0,1240
1999-10-18,450.0,450.0,450.0,450.0,4340
1999-10-19,450.0,460.0,450.0,460.0,3490
1999-10-20,460.0,460.0,460.0,460.0,4740
1999-10-21,460.0,465.0,460.0,465.0,11210
1999-10-22,465.0,465.0,465.0,465.0,13150
1999-10-25,465.0,470.0,465.0,465.0,15390
1999-10-26,465.0,485.0,465.0,480.0,20220
1999-10-27,485.0,487.5,485.0,485.0,17090
1999-10-28,485.0,485.0,485.0,485.0,20910
1999-11-03,475.0,475.0,470.0,470.0,20740
1999-11-04,465.0,480.0,465.0,480.0,372530
1999-11-05,480.0,490.0,455.0,480.0,145840
1999-11-08,480.0,480.0,475.0,480.0,128570
1999-11-09,480.0,480.0,480.0,480.0,125500
1999-11-10,480.0,490.0,480.0,485.0,120090
1999-11-11,485.0,487.5,485.0,487.5,78830
1999-11-12,492.5,525.0,492.5,525.0,153840
1999-11-15,510.0,535.0,510.0,530.0,156620
1999-11-16,540.0,570.0,540.0,565.0,93280
1999-11-17,560.0,560.0,520.0,540.0,103240
1999-11-18,540.0,540.0,535.0,535.0,95090
1999-11-19,530.0,535.0,525.0,530.0,82670
1999-11-22,525.0,525.0,515.0,515.0,45590
1999-11-23,505.0,510.0,505.0,510.0,79080
1999-11-24,505.0,520.0,505.0,520.0,78480
