date,open,high,low,close,volume
2003-01-06,1.44,1.5,1.44,1.5,40000
2003-01-08,1.48,1.48,1.48,1.48,10000
2003-05-09,1.5,1.5,1.5,1.5,10000
2003-06-18,1.52,1.52,1.52,1.52,10000
2003-12-18,1.8,1.8,1.8,1.8,10000
2003-12-19,2.1,2.1,2.1,2.1,10000
2003-12-22,2.1,2.5,2.1,2.5,30000
2003-12-29,2.8,2.8,2.8,2.8,10000
2005-12-23,2.0,2.0,2.0,2.0,25000
2007-08-01,1.88,1.88,1.88,1.88,32000
2007-12-13,2.0,2.55,2.0,2.55,215000
2007-12-14,3.5,3.8,3.5,3.8,57000
2007-12-17,5.7,5.7,5.7,5.7,54000
2007-12-18,6.3,6.8,6.0,6.0,33000
2007-12-19,4.0,4.0,4.0,4.0,25000
2007-12-20,4.0,4.0,4.0,4.0,8000
2007-12-21,4.8,4.8,4.8,4.8,1000
2007-12-27,3.0,3.0,3.0,3.0,10000
2007-12-28,3.05,4.0,3.0,4.0,23000
2008-01-09,3.0,3.4,3.0,3.4,13000
2008-01-11,3.4,3.4,3.4,3.4,1000
2008-01-14,3.4,3.4,3.4,3.4,7000
2008-01-15,3.0,3.0,3.0,3.0,16000
2008-01-16,3.0,3.0,2.5,2.5,5000
2008-01-30,2.5,2.5,2.5,2.5,1000
2008-01-31,2.3,2.3,2.3,2.3,3000
2008-02-11,2.2,2.3,2.2,2.3,8000
2008-02-13,2.8,2.8,2.8,2.8,1000
2008-02-14,2.6,3.0,2.6,3.0,16000
2008-02-18,3.0,3.8,3.0,3.8,6000
2008-02-19,3.8,4.0,3.8,4.0,4000
2008-02-20,4.3,4.3,4.3,4.3,1000
2008-02-22,4.5,4.9,4.5,4.9,2000
2008-02-26,4.0,4.0,4.0,4.0,2000
2008-02-28,5.0,5.0,5.0,5.0,1000
2008-02-29,3.0,4.3,3.0,4.3,2000
2008-03-19,3.0,3.0,3.0,3.0,5000
2008-03-24,2.6,2.6,2.6,2.6,8000
2008-04-01,3.9,3.9,3.9,3.9,1000
2008-04-21,3.7,3.7,3.7,3.7,2000
2008-05-05,3.2,3.2,3.2,3.2,1000
2008-05-16,3.0,3.0,3.0,3.0,1000
2008-06-02,3.8,3.8,3.8,3.8,2000
2008-06-23,3.8,3.8,3.8,3.8,1000
2008-06-24,3.8,3.8,3.8,3.8,19000
2008-06-25,4.0,5.7,4.0,5.7,71000
2008-06-26,5.7,5.7,5.5,5.6,4000
2008-06-27,5.2,5.2,5.2,5.2,5000
2008-06-30,5.4,6.0,5.4,5.9,46000
2008-07-03,4.1,4.75,4.1,4.75,17000
2008-07-07,3.5,5.1,3.5,5.1,7000
2008-07-09,5.0,5.6,5.0,5.6,15000
2008-07-10,5.9,6.8,5.8,6.8,8000
2008-07-11,5.0,5.0,5.0,5.0,2000
2008-07-14,3.0,3.0,3.0,3.0,2000
2008-07-21,3.9,4.2,3.9,4.2,9000
2008-08-11,2.6,2.6,2.6,2.6,3000
2008-08-12,3.0,3.0,3.0,3.0,1000
2008-08-27,2.5,2.5,2.5,2.5,3000
2008-09-09,2.5,2.5,2.5,2.5,2000
2008-09-18,2.0,2.0,2.0,2.0,3000
2008-09-19,2.0,2.0,2.0,2.0,1000
2008-09-23,2.0,2.0,2.0,2.0,4000
2008-10-02,2.02,2.02,2.02,2.02,10000
2008-10-06,2.0,2.0,2.0,2.0,2000
2008-10-07,2.0,2.0,2.0,2.0,4000
2008-10-10,2.0,2.0,2.0,2.0,2000
2008-11-04,2.3,2.5,2.3,2.5,3000
2008-11-05,2.65,2.75,2.65,2.75,3000
2008-12-12,2.0,2.0,2.0,2.0,1000
2008-12-24,2.0,2.0,2.0,2.0,15000
2009-01-05,2.0,2.0,2.0,2.0,8000
2009-01-30,1.22,1.22,1.2,1.2,2000
2009-02-06,1.22,1.22,1.22,1.22,1000
2009-04-29,1.72,1.72,1.72,1.72,2000
2009-05-11,1.8,1.8,1.72,1.72,2000
2009-05-12,2.0,2.0,2.0,2.0,2000
2009-05-13,2.0,2.0,2.0,2.0,11000
2009-05-19,2.0,2.0,2.0,2.0,1000
2009-05-20,2.0,2.0,2.0,2.0,9000
2009-06-08,2.0,2.0,2.0,2.0,10000
2009-06-09,2.0,2.0,2.0,2.0,10000
2009-06-26,1.9,1.9,1.8,1.8,18000
2009-09-11,1.42,1.42,1.4,1.4,2000
2009-09-14,1.44,1.44,1.44,1.44,1000
2009-12-22,1.44,1.44,1.44,1.44,114000
2010-01-06,1.56,1.56,1.56,1.56,1000
2010-01-21,1.38,1.38,1.38,1.38,1000
2010-05-14,1.12,1.12,1.12,1.12,1000
2010-05-19,1.16,1.16,1.16,1.16,1000
2010-09-23,1.5,1.5,1.5,1.5,1000
2010-09-24,2.0,2.0,2.0,2.0,1000
2010-12-20,2.0,2.0,2.0,2.0,2000
2010-12-21,2.0,2.2,2.0,2.2,3000
2010-12-30,2.5,2.5,2.5,2.5,1000
2011-01-03,2.5,2.5,2.5,2.5,8000
2011-01-27,1.53,1.53,1.53,1.53,23000
2011-02-01,1.54,2.0,1.54,2.0,16000
2011-02-07,2.5,2.5,2.5,2.5,1000
2011-02-08,2.6,2.6,2.6,2.6,1000
2011-02-10,1.56,1.56,1.56,1.56,9000
2011-05-30,2.1,2.1,2.1,2.1,2000
2011-07-08,2.2,2.2,2.2,2.2,1000
2011-08-03,2.5,2.5,2.5,2.5,1000
2011-08-15,2.5,2.5,2.5,2.5,1000
2011-08-18,2.5,2.5,2.5,2.5,1000
