date,open,high,low,close,volume
1999-02-04,1.1,1.1,1.1,1.1,10000
1999-02-05,1.16,1.3,1.16,1.3,84000
1999-02-08,1.16,1.3,1.16,1.3,84000
1999-02-09,1.16,1.3,1.16,1.3,84000
1999-02-10,1.16,1.3,1.16,1.3,84000
1999-02-11,1.16,1.3,1.16,1.3,84000
1999-02-12,1.14,1.14,1.14,1.14,20000
1999-02-16,1.1,1.1,1.1,1.1,4000
1999-02-18,1.12,1.12,1.12,1.12,23000
1999-02-19,1.08,1.08,1.08,1.08,1000
1999-02-23,1.1,1.1,1.0,1.0,63000
1999-03-03,1.0,1.04,1.0,1.04,60000
1999-03-05,1.04,1.04,1.04,1.04,26000
1999-03-08,1.04,1.04,1.04,1.04,24000
1999-03-11,1.0,1.0,1.0,1.0,1000
1999-03-18,1.0,1.0,1.0,1.0,50000
1999-03-22,1.0,1.0,1.0,1.0,20000
1999-03-23,1.02,1.02,1.0,1.0,50000
1999-03-25,1.0,1.0,1.0,1.0,40000
1999-03-30,1.0,1.0,1.0,1.0,20000
1999-04-12,1.0,1.0,1.0,1.0,30000
1999-04-19,1.0,1.0,1.0,1.0,40000
1999-04-21,1.0,1.0,1.0,1.0,10000
1999-04-22,1.0,1.0,1.0,1.0,250000
1999-04-23,1.0,1.0,1.0,1.0,340000
1999-04-26,1.0,1.0,1.0,1.0,110000
1999-04-28,1.0,1.0,1.0,1.0,30000
1999-05-05,1.1,1.1,1.1,1.1,10000
1999-05-06,1.12,1.2,1.12,1.2,1866000
1999-05-07,1.26,1.26,1.2,1.22,113000
1999-05-10,1.3,1.5,1.3,1.5,390000
1999-05-11,1.5,1.5,1.4,1.4,20000
1999-05-12,1.4,1.4,1.3,1.3,44000
1999-05-13,1.3,1.3,1.3,1.3,21000
1999-05-14,1.28,1.28,1.28,1.28,170000
1999-05-18,1.08,1.08,1.08,1.08,1000
1999-05-19,1.08,1.42,1.08,1.42,143000
1999-05-21,1.2,1.3,1.2,1.3,57000
1999-05-24,1.3,1.3,1.3,1.3,23000
1999-05-25,1.4,1.94,1.4,1.94,758000
1999-05-26,2.0,2.0,2.0,2.0,60000
1999-05-27,1.98,2.95,1.98,2.85,2163000
1999-05-28,3.0,3.25,2.8,2.9,3525000
1999-05-31,2.9,2.9,2.6,2.75,305000
1999-06-01,2.6,2.7,2.6,2.7,292000
1999-06-02,2.6,2.6,2.5,2.5,261000
1999-06-03,2.0,2.1,1.96,2.0,207000
1999-06-04,2.0,2.0,2.0,2.0,10000
1999-06-07,2.0,2.0,1.94,1.94,100000
1999-06-09,1.96,2.0,1.96,2.0,99000
1999-06-10,2.2,2.4,2.2,2.3,246000
1999-06-11,2.4,2.7,2.4,2.55,328000
1999-06-14,2.5,2.5,2.2,2.4,470000
1999-06-15,2.3,2.3,2.3,2.3,113000
1999-06-16,2.3,2.48,2.3,2.32,320000
1999-06-17,2.55,2.55,2.32,2.32,160000
1999-06-21,2.32,2.34,2.3,2.3,120000
1999-06-22,2.32,2.32,2.32,2.32,173000
1999-06-23,2.32,3.2,2.3,2.3,151000
1999-06-24,2.1,2.5,2.1,2.38,51000
1999-06-25,2.4,2.4,2.4,2.4,5000
1999-06-28,2.3,2.38,2.1,2.38,115000
1999-06-29,2.1,2.32,2.1,2.32,68000
1999-06-30,2.2,2.32,2.2,2.32,47000
1999-07-01,2.12,2.12,2.1,2.1,287000
1999-07-02,2.0,2.0,2.0,2.0,40000
1999-07-05,1.5,2.0,1.5,2.0,20000
1999-07-06,2.1,2.3,2.1,2.3,230000
1999-07-07,2.28,2.5,2.26,2.3,498000
1999-07-08,2.5,2.6,2.3,2.44,1272000
1999-07-09,2.6,3.0,2.4,3.0,683000
1999-07-12,2.95,3.0,2.8,3.0,285000
1999-07-13,2.5,2.95,2.5,2.95,221000
1999-07-14,2.44,2.9,2.44,2.9,90000
1999-07-19,2.38,2.8,2.38,2.8,17000
1999-07-20,2.4,2.85,2.4,2.85,383000
1999-07-21,2.85,2.9,2.5,2.85,438000
1999-07-22,2.65,2.7,2.44,2.7,225000
1999-07-23,2.16,2.65,2.16,2.65,165000
1999-07-26,2.6,2.7,2.6,2.7,135000
1999-07-27,2.75,2.85,2.36,2.75,104000
1999-07-30,2.65,2.7,2.32,2.7,112000
