date,open,high,low,close,volume
2017-05-29,9.7,9.8,9.64,9.7,7537000
2017-05-30,9.6,9.88,9.31,9.81,4692100
2017-05-31,9.8,9.9,9.77,9.82,4170500
2017-06-01,9.82,10.1,9.78,10.1,6480800
2017-06-02,9.77,10.26,9.39,9.67,14868900
2017-06-05,9.6,10.12,9.6,10.0,13450600
2017-06-06,10.02,10.1,9.87,10.0,3659800
2017-06-07,9.87,9.99,9.7,9.99,4457100
2017-06-08,9.88,9.99,9.86,9.92,3804100
2017-06-09,9.92,9.99,9.35,9.35,10564500
2017-06-13,9.38,9.49,8.48,8.6,43266400
2017-06-14,8.65,9.15,8.6,8.99,12543200
2017-06-15,9.0,9.15,8.88,8.98,6960500
2017-06-16,9.12,9.5,9.01,9.5,14217600
2017-06-19,9.5,9.8,9.48,9.7,7874900
2017-06-20,9.7,9.8,9.51,9.8,2428800
2017-06-21,9.79,9.93,9.75,9.92,7526300
2017-06-22,9.92,9.98,9.78,9.8,6300800
2017-06-23,9.78,9.78,9.38,9.38,31840600
2017-06-27,9.37,9.37,8.87,8.94,56692700
2017-06-28,8.92,9.16,8.52,9.16,17368600
2017-06-29,9.15,9.28,8.78,8.88,9082300
2017-06-30,8.88,9.0,8.69,8.74,24797400
2017-07-03,8.74,9.0,8.7,8.8,6315200
2017-07-04,8.95,9.09,8.88,8.95,5228100
2017-07-05,9.0,9.11,8.88,8.99,3741000
2017-07-06,9.02,9.11,8.93,8.98,6906000
2017-07-07,8.95,9.1,8.78,8.9,3285900
2017-07-10,8.95,8.95,8.62,8.83,3509700
2017-07-11,8.83,8.94,8.8,8.92,1088200
2017-07-12,8.95,9.21,8.92,9.21,6048500
2017-07-13,9.2,9.21,9.0,9.0,6939400
2017-07-14,8.98,9.01,8.83,9.01,1116300
2017-07-17,8.9,9.0,8.75,8.8,1086900
2017-07-18,8.77,8.95,8.5,8.6,2552200
2017-07-19,8.51,8.7,8.45,8.54,1973700
2017-07-20,8.53,8.53,8.05,8.4,8365400
2017-07-21,8.4,8.91,8.3,8.9,5749000
2017-07-24,8.9,8.98,8.7,8.95,1374400
2017-07-25,8.95,8.95,8.6,8.9,1297300
2017-07-26,8.64,9.0,8.64,9.0,1670500
2017-07-27,9.0,9.03,8.75,9.03,1819800
2017-07-28,9.06,9.36,8.75,9.12,10821900
2017-07-31,9.05,9.05,8.75,9.0,3596400
2017-08-01,9.0,9.0,8.77,8.98,1139800
2017-08-02,8.9,8.96,8.81,8.95,1332600
2017-08-03,8.81,8.98,8.7,8.7,1725000
2017-08-04,8.7,9.0,8.7,8.99,3471900
2017-08-07,8.99,9.0,8.75,8.98,2595000
2017-08-08,8.81,8.98,8.63,8.63,5009900
2017-08-09,8.62,8.8,8.55,8.79,727100
2017-08-10,8.79,8.85,8.66,8.8,3479100
2017-08-11,8.79,8.79,8.5,8.65,380300
2017-08-14,8.5,8.87,8.5,8.65,4696700
2017-08-15,8.8,9.18,8.63,8.63,11567400
2017-08-16,8.63,8.86,8.6,8.69,3217600
2017-08-17,8.66,8.69,8.55,8.69,2271600
2017-08-18,8.68,8.68,8.51,8.6,2334000
2017-08-22,8.64,8.72,8.51,8.71,1594900
2017-08-23,8.83,8.9,8.65,8.65,2663100
2017-08-24,8.65,8.8,8.65,8.75,1638400
2017-08-25,8.77,9.2,8.77,8.98,25928900
2017-08-29,8.98,9.12,8.88,8.99,2128600
2017-08-30,8.99,9.17,8.99,9.09,7746700
2017-08-31,9.1,9.36,8.78,8.89,14030700
2017-09-04,8.89,9.1,8.7,9.05,4165600
2017-09-05,9.05,9.1,8.98,9.08,2396900
2017-09-06,9.06,9.2,9.02,9.13,7158200
2017-09-07,9.13,9.45,9.13,9.37,20684000
2017-09-08,9.47,9.5,9.13,9.2,7658700
2017-09-11,9.21,9.25,8.92,8.92,8651400
2017-09-13,9.0,9.1,8.76,8.8,4870300
2017-09-14,8.79,8.83,8.5,8.51,14233000
2017-09-15,8.5,8.5,8.18,8.5,9609700
2017-09-18,8.5,8.7,8.46,8.61,5906900
2017-09-19,8.7,8.7,8.13,8.19,7439100
2017-09-20,8.19,8.48,8.14,8.25,7916100
2017-09-21,8.25,8.41,8.25,8.28,2500200
2017-09-22,8.3,8.4,8.18,8.2,2809300
2017-09-25,8.21,8.35,7.69,7.76,7041200
2017-09-26,7.78,7.9,7.2,7.9,12098000
2017-09-27,7.88,7.98,7.62,7.7,9135200
2017-09-28,7.7,7.7,7.42,7.42,3794900
2017-09-29,7.45,7.7,7.42,7.58,8761600
2017-10-02,7.58,7.97,7.56,7.83,6683200
2017-10-03,7.81,7.96,7.72,7.77,1673400
2017-10-04,7.77,7.96,7.55,7.56,15726700
2017-10-05,7.57,7.81,7.57,7.73,1007100
2017-10-06,7.7,7.8,7.47,7.5,16595600
2017-10-09,7.5,7.7,7.45,7.45,9460600
2017-10-10,7.48,7.64,7.46,7.46,7080500
2017-10-11,7.46,7.65,7.45,7.5,1118200
2017-10-12,7.52,7.59,7.37,7.42,7630400
2017-10-13,7.38,7.49,7.06,7.1,8909600
2017-10-17,7.1,7.2,6.95,7.0,3381100
2017-10-18,7.0,7.05,6.67,6.8,5304800
2017-10-19,6.8,6.95,6.75,6.8,6983800
2017-10-20,6.95,7.0,6.83,7.0,12336800
2017-10-23,7.06,7.73,6.91,7.73,14012400
2017-10-24,7.47,7.47,7.12,7.2,4070000
2017-10-25,7.2,7.2,6.95,6.95,1733800
2017-10-26,6.95,7.0,6.62,6.62,2752700
2017-10-27,6.62,6.91,6.43,6.7,4142700
2017-10-30,6.67,6.87,6.67,6.8,4545700
2017-11-02,6.8,7.2,6.8,7.1,7577300
2017-11-03,7.1,7.25,7.04,7.04,2997100
2017-11-06,7.05,7.15,6.85,6.9,2883300
2017-11-07,7.01,7.1,6.91,6.96,2290000
2017-11-08,6.96,7.1,6.95,7.0,4547500
2017-11-09,7.0,7.05,6.82,6.9,2778600
2017-11-10,6.95,7.05,6.95,6.99,2800600
2017-11-13,7.0,7.05,6.97,6.97,898200
2017-11-14,6.97,6.97,6.69,6.77,1978400
2017-11-15,6.8,6.85,6.65,6.73,1254800
2017-11-16,6.79,6.82,6.69,6.69,603300
2017-11-17,6.69,6.73,6.54,6.57,1178500
2017-11-20,6.55,6.56,6.23,6.23,2970000
2017-11-21,6.21,6.22,5.85,5.91,4386900
2017-11-22,5.91,6.44,5.91,6.4,14749400
2017-11-23,6.45,6.7,6.25,6.65,3055500
2017-11-24,6.65,6.87,6.5,6.7,3741000
2017-11-27,6.76,7.12,6.75,7.1,24193700
2017-11-28,7.13,7.3,7.02,7.23,4564700
2017-11-29,7.25,7.5,7.25,7.43,15634000
2017-12-01,7.43,7.43,7.07,7.37,18607200
2017-12-04,7.34,7.34,7.14,7.22,6642600
2017-12-05,7.25,7.61,7.25,7.43,9205500
