date,open,high,low,close,volume
2018-04-30,103.8,103.8,103.8,103.8,100
2018-05-02,107.1,107.1,107.1,107.1,90
2018-05-04,103.8,107.1,103.5,107.1,5010
2018-05-07,107.1,107.1,107.1,107.1,10
2018-05-08,106.5,106.5,106.5,106.5,10
2018-05-09,104.0,106.5,104.0,106.5,1080
2018-05-10,106.0,106.0,106.0,106.0,20
2018-05-11,104.0,106.5,104.0,106.5,270
2018-05-17,106.6,106.8,103.7,106.8,700
2018-05-21,105.0,105.0,105.0,105.0,1280
2018-05-22,105.0,105.0,104.0,104.0,430
2018-05-24,103.8,103.8,103.6,103.6,150
2018-05-28,105.0,105.0,103.5,103.5,25850
2018-05-29,103.5,103.5,103.5,103.5,56450
2018-05-30,105.0,105.0,103.5,103.5,25500
2018-05-31,103.5,103.5,103.5,103.5,380
2018-06-05,103.5,103.5,102.0,102.0,9830
2018-06-08,103.0,103.0,103.0,103.0,210
2018-06-13,103.0,103.0,103.0,103.0,4880
2018-06-14,103.0,103.0,103.0,103.0,30
2018-06-26,103.0,103.0,103.0,103.0,1160
2018-06-27,103.0,103.0,103.0,103.0,1000
2018-06-28,103.0,103.0,103.0,103.0,2000
2018-06-29,103.0,103.0,103.0,103.0,35580
2018-07-02,103.0,103.0,103.0,103.0,100
2018-07-04,103.0,103.0,103.0,103.0,6960
2018-07-05,102.9,102.9,102.9,102.9,20
2018-07-06,103.0,103.0,102.9,102.9,79310
2018-07-09,104.8,104.8,104.8,104.8,40
2018-07-10,104.8,105.0,104.8,105.0,1000
2018-07-11,105.0,105.0,103.0,103.0,80
2018-07-13,105.0,105.0,105.0,105.0,30
2018-07-17,105.0,105.0,104.5,104.5,80
2018-07-18,102.5,102.5,102.0,102.5,14310
2018-07-19,102.5,102.5,102.5,102.5,3580
2018-07-25,102.5,102.5,102.5,102.5,10
2018-07-26,102.5,102.5,102.5,102.5,16000
2018-07-30,102.5,102.5,102.5,102.5,1000
2018-07-31,102.6,102.6,102.5,102.6,10050
2018-08-02,102.2,104.5,102.0,102.5,124000
2018-08-03,104.5,104.5,104.5,104.5,170
2018-08-07,104.5,104.5,104.5,104.5,200
2018-08-08,102.5,102.5,102.4,102.4,8780
2018-08-09,102.4,102.5,102.4,102.5,5420
2018-08-15,102.5,102.5,102.0,102.5,20080
2018-08-16,102.5,102.5,102.5,102.5,2000
2018-08-17,102.5,102.5,102.5,102.5,80
2018-08-23,102.5,102.5,100.1,100.1,4180
2018-08-24,105.0,105.0,105.0,105.0,510
2018-08-28,100.2,100.2,100.2,100.2,50
2018-08-30,100.3,100.3,95.1,98.1,33450
2018-09-07,101.0,101.0,100.0,100.0,27640
2018-09-10,100.0,100.0,100.0,100.0,740
2018-09-11,100.0,100.0,100.0,100.0,760
2018-09-12,100.0,100.0,100.0,100.0,140
2018-09-17,101.0,101.3,101.0,101.3,27500
2018-09-20,101.0,101.0,100.2,100.2,21000
2018-09-25,100.2,100.2,100.0,100.0,41250
2018-09-27,104.5,104.5,104.0,104.0,60
2018-10-02,103.5,103.5,103.5,103.5,30
2018-10-03,101.0,101.0,100.2,100.2,10750
2018-10-04,99.8,99.8,99.8,99.8,500
2018-10-08,101.0,101.0,99.8,99.9,14000
2018-10-09,100.0,100.0,100.0,100.0,10000
2018-10-15,101.0,101.0,100.0,100.0,2010
2018-10-16,100.1,100.1,100.1,100.1,10
2018-10-17,102.9,102.9,101.0,101.0,28870
2018-10-18,101.0,103.0,101.0,103.0,18990
2018-10-19,100.0,100.0,100.0,100.0,50
2018-10-23,102.0,102.0,99.8,99.8,10560
2018-10-29,100.0,100.0,100.0,100.0,10500
2018-10-31,101.9,101.9,101.9,101.9,110
2018-11-05,101.9,101.9,101.9,101.9,100
2018-11-06,101.9,101.9,100.1,100.1,3030
2018-11-07,101.0,101.0,101.0,101.0,1000
2018-11-08,101.0,101.0,101.0,101.0,7480
2018-11-13,99.0,99.0,99.0,99.0,200
2018-11-14,101.0,101.0,99.3,99.3,10140
2018-11-16,101.0,101.0,101.0,101.0,50
2018-11-19,99.3,99.3,99.3,99.3,10
2018-11-20,99.5,99.5,99.5,99.5,400
2018-11-21,99.5,99.5,99.5,99.5,10200
2018-12-05,99.5,99.7,99.5,99.7,2850
2018-12-06,99.5,101.5,99.3,101.5,20090
2018-12-10,99.7,99.7,99.3,99.3,14640
2018-12-11,101.4,101.5,99.0,99.0,10700
2018-12-12,99.0,99.0,98.5,98.5,57590
2018-12-13,97.5,101.0,97.5,101.0,650
2018-12-17,101.3,101.3,101.3,101.3,300
2018-12-26,99.0,99.0,98.0,98.0,9660
2019-01-03,98.0,98.0,98.0,98.0,1000
2019-01-04,101.0,101.0,101.0,101.0,320
2019-01-07,98.0,100.8,98.0,100.8,110
2019-01-08,100.5,100.5,100.5,100.5,120
2019-01-09,99.0,99.0,99.0,99.0,8000
2019-01-14,100.5,100.5,100.5,100.5,500
2019-01-15,100.5,100.5,100.5,100.5,2250
2019-01-16,100.5,100.5,100.0,100.0,5410
2019-01-17,100.5,100.5,100.5,100.5,580
2019-01-18,100.0,100.5,100.0,100.5,210
2019-01-21,99.1,100.5,99.1,100.5,2160
2019-01-22,100.5,100.8,100.5,100.8,240
2019-01-23,100.8,100.8,100.5,100.5,980
2019-01-25,100.6,101.2,100.6,101.2,2750
2019-01-28,101.4,101.4,101.0,101.4,3410
2019-01-29,101.4,101.4,101.4,101.4,7180
2019-01-30,101.5,102.0,101.5,102.0,5200
2019-01-31,102.0,102.0,101.6,101.6,110420
2019-02-04,101.6,101.6,101.5,101.5,2000
2019-02-08,101.3,101.3,101.3,101.3,340
2019-02-13,101.3,101.3,96.1,101.3,660
2019-02-14,100.0,100.0,100.0,100.0,100
2019-02-18,100.0,100.0,100.0,100.0,70
2019-02-19,100.0,100.0,100.0,100.0,130
2019-02-21,100.0,100.0,100.0,100.0,2000
2019-02-22,100.0,100.0,100.0,100.0,2000
2019-02-26,100.0,100.0,100.0,100.0,18280
2019-03-04,101.9,101.9,101.9,101.9,10
2019-03-05,100.0,101.0,100.0,101.0,11130
2019-03-06,101.0,101.0,101.0,101.0,40
2019-03-08,100.0,100.0,100.0,100.0,830
2019-03-11,100.0,100.0,100.0,100.0,130
2019-03-12,101.0,101.0,101.0,101.0,5500
2019-03-14,100.0,101.9,100.0,101.9,690
2019-03-22,101.9,101.9,101.9,101.9,130
2019-03-25,100.0,101.9,100.0,101.9,160
2019-03-26,101.9,101.9,101.9,101.9,10
2019-03-27,101.8,101.8,101.8,101.8,10
2019-04-01,101.8,101.8,101.8,101.8,20
2019-04-02,101.9,102.0,101.9,102.0,860
2019-04-03,102.9,102.9,102.9,102.9,100
2019-04-04,102.7,102.7,102.7,102.7,10
2019-04-05,102.7,102.7,102.7,102.7,10
2019-04-08,101.2,101.2,100.0,100.0,10000
2019-04-10,102.7,102.7,100.0,100.0,8010
2019-04-11,102.7,102.7,100.0,100.0,2020
2019-04-15,102.7,102.7,102.7,102.7,10
2019-04-17,102.5,103.0,102.5,103.0,5780
2019-04-23,100.1,100.1,100.1,100.1,5000
2019-04-24,100.1,100.1,100.1,100.1,10
2019-04-25,100.1,102.9,100.1,102.9,1010
2019-04-26,100.1,100.1,100.1,100.1,2000
2019-04-29,100.5,100.5,100.0,100.0,8000
2019-04-30,100.1,100.1,100.1,100.1,10000
2019-05-03,100.5,100.5,100.0,100.0,3050
2019-05-06,100.1,100.1,100.1,100.1,1520
2019-05-07,101.5,101.5,101.5,101.5,1500
2019-05-14,102.0,102.0,102.0,102.0,40
2019-05-15,100.1,100.1,100.1,100.1,10
2019-05-21,102.0,102.0,101.0,101.0,2010
2019-05-22,100.5,101.0,100.5,101.0,770
2019-05-23,101.0,101.0,101.0,101.0,10
2019-05-24,100.6,100.6,100.5,100.5,9500
