date,open,high,low,close,volume
2003-07-23,1.02,1.02,1.02,1.02,60000
2003-09-19,1.02,1.02,1.02,1.02,6000
2003-09-29,1.02,1.02,1.02,1.02,5000
2005-01-07,1.02,1.02,1.02,1.02,11000
2005-06-17,1.5,1.5,1.5,1.5,10000
2005-06-28,2.24,2.24,2.24,2.24,3000
2005-06-30,3.2,3.2,3.2,3.2,3000
2005-07-01,3.7,4.5,3.7,4.5,13000
2005-07-07,5.0,5.0,5.0,5.0,5000
2005-07-15,4.5,4.6,4.5,4.5,6279000
2005-07-19,5.0,5.0,5.0,5.0,771000
2005-08-30,3.95,4.05,3.95,4.05,9338000
2005-09-05,4.1,4.1,4.1,4.1,6000
2005-09-15,4.5,4.5,4.5,4.5,5000
2005-09-27,4.2,4.2,4.2,4.2,10000
2005-09-28,4.2,4.2,4.2,4.2,11000
2005-10-07,4.2,4.2,4.2,4.2,5000
2005-11-07,4.1,4.1,4.1,4.1,10000
2006-01-04,4.0,5.0,4.0,5.0,1369000
2006-01-18,5.4,5.4,5.4,5.4,1000
2006-01-19,4.0,4.0,4.0,4.0,400000
2006-01-31,4.0,4.0,4.0,4.0,20000
2006-03-01,5.9,5.9,5.9,5.9,1000
2006-03-02,6.0,6.0,6.0,6.0,1000
2006-03-15,6.0,6.0,6.0,6.0,2000
2006-04-06,4.5,4.5,4.5,4.5,2000
2006-05-30,4.0,4.0,4.0,4.0,101000
2006-10-05,4.2,5.0,4.2,4.8,246000
2006-10-06,5.2,5.2,4.5,4.8,50000
2006-10-09,4.8,4.8,4.5,4.5,56000
2006-10-10,4.8,5.0,4.8,4.9,101000
2006-10-11,4.95,6.2,4.95,6.1,376000
2006-10-12,6.2,7.5,6.2,7.0,2491000
2006-10-13,7.1,7.1,6.4,6.6,120000
2006-10-16,6.5,6.5,6.5,6.5,11000
2006-10-17,6.6,6.9,6.4,6.5,164000
2006-10-18,6.5,6.5,6.5,6.5,1856000
2006-10-19,6.4,6.5,6.4,6.4,188000
2006-10-20,6.5,6.5,6.5,6.5,20000
2006-10-23,6.4,6.4,5.9,5.9,39000
2006-10-25,5.9,5.9,5.3,5.3,82000
2006-10-26,5.3,5.3,5.1,5.1,3000
2006-10-27,5.8,5.8,5.0,5.1,9000
2006-10-30,5.3,5.3,4.0,4.35,569000
2006-10-31,4.1,4.1,4.05,4.05,10000
2006-11-15,3.9,3.95,3.85,3.85,90000
2006-11-16,3.85,3.95,3.5,3.5,165000
2006-11-17,3.5,3.8,3.5,3.8,20000
2006-11-24,3.9,4.2,3.9,4.0,104000
2006-11-27,4.1,4.1,4.1,4.1,1000
2006-11-28,4.1,4.1,3.9,4.0,30000
2006-11-29,3.8,3.8,3.8,3.8,6000
2006-11-30,3.8,3.8,3.8,3.8,5000
2006-12-04,4.0,4.0,4.0,4.0,5000
2006-12-05,3.7,3.7,3.7,3.7,2000
2006-12-06,3.6,3.7,3.6,3.7,13000
2006-12-12,3.6,3.6,3.6,3.6,6000
2006-12-19,3.7,3.7,3.7,3.7,2000
2006-12-28,3.6,4.0,3.6,4.0,20000
2006-12-29,3.9,4.1,3.7,4.0,50000
2007-01-05,3.7,3.7,3.7,3.7,4000
2007-01-15,3.8,3.8,3.5,3.5,4000
2007-01-16,3.7,3.7,3.7,3.7,2000
2007-01-17,3.75,3.75,3.75,3.75,2000
2007-01-18,3.5,3.5,3.5,3.5,5000
2007-01-22,3.4,3.5,3.1,3.1,25000
2007-01-23,3.15,3.15,3.15,3.15,1000
2007-01-24,3.1,3.1,3.1,3.1,2000
2007-01-25,3.1,3.1,3.1,3.1,1000
2007-01-26,3.3,3.3,3.3,3.3,3000
2007-01-31,3.3,3.3,3.3,3.3,3000
2007-02-01,3.15,3.15,3.1,3.1,4000
2007-02-02,3.1,3.1,3.0,3.0,61000
2007-02-08,3.5,3.65,3.5,3.65,4000
2007-02-13,3.6,4.0,3.6,4.0,15000
2007-02-14,4.0,4.0,4.0,4.0,2000
2007-02-16,4.4,4.4,4.4,4.4,1000
2007-02-19,4.3,4.3,3.65,4.1,9000
2007-02-20,3.6,3.6,3.6,3.6,3000
2007-02-21,4.0,4.0,4.0,4.0,1000
2007-02-22,3.5,3.8,3.5,3.8,3000
2007-02-23,3.15,3.15,3.15,3.15,100000
2007-02-26,3.8,3.8,3.8,3.8,1000
2007-02-27,3.25,3.75,3.25,3.75,6000
2007-03-02,3.2,3.2,3.15,3.15,25000
2007-03-05,3.15,3.6,3.15,3.6,16000
2007-03-06,3.15,3.15,3.15,3.15,3000
2007-03-13,3.15,3.65,3.15,3.65,7000
2007-03-27,2.5,2.5,2.5,2.5,1000
2007-04-11,3.0,3.5,3.0,3.5,5000
2007-04-12,3.2,3.3,3.1,3.1,38000
2007-04-23,3.3,3.4,3.3,3.4,20000
2007-04-24,3.4,3.4,3.4,3.4,47000
2007-04-25,3.7,3.8,3.7,3.8,50000
2007-04-27,3.2,3.2,3.1,3.1,11000
2007-04-30,3.4,3.4,3.4,3.4,15000
2007-05-07,3.5,3.7,3.5,3.5,35000
2007-05-08,3.7,4.0,3.7,4.0,16000
2007-05-09,4.0,4.6,4.0,4.6,141000
2007-05-10,4.7,5.0,4.7,5.0,35000
2007-05-11,5.0,5.0,4.7,4.7,19000
2007-05-15,4.4,4.4,4.2,4.2,28000
2007-05-22,4.4,4.4,4.4,4.4,1000
2007-05-30,4.8,4.8,4.8,4.8,1000
2007-06-07,5.0,5.0,5.0,5.0,1000
2007-06-13,4.9,5.0,4.9,5.0,17000
2007-06-18,5.0,5.0,5.0,5.0,10000
2007-06-25,4.4,4.4,4.4,4.4,20000
2007-06-26,4.1,4.1,4.0,4.0,40000
2007-07-03,4.7,4.7,4.7,4.7,1000
2007-07-04,4.1,4.6,4.0,4.5,220000
2007-07-05,4.3,4.5,4.0,4.4,140000
2007-07-06,4.3,4.3,4.0,4.0,56000
2007-07-09,3.9,3.9,3.9,3.9,12000
2007-07-10,3.0,3.0,2.85,2.85,1400000
2007-07-11,2.95,3.0,2.85,2.85,559000
2007-07-12,2.85,2.85,2.6,2.6,256000
2007-07-13,2.6,2.85,2.2,2.3,2241000
2007-07-16,2.5,2.65,2.5,2.65,840000
2007-07-17,2.65,2.65,2.65,2.65,266000
2007-07-18,2.65,2.65,2.5,2.5,120000
2007-07-19,2.8,2.9,2.65,2.7,215000
2007-07-20,2.7,2.7,2.6,2.65,207000
