date,open,high,low,close,volume
1999-02-04,6.8,6.8,6.8,6.8,7000
1999-02-05,6.7,6.7,6.5,6.5,15000
1999-02-08,6.7,6.7,6.5,6.5,15000
1999-02-09,6.7,6.7,6.5,6.5,15000
1999-02-10,6.7,6.7,6.5,6.5,15000
1999-02-11,6.7,6.7,6.5,6.5,15000
1999-02-12,6.4,6.4,6.4,6.4,4000
1999-02-17,6.4,6.4,6.4,6.4,2000
1999-03-01,6.3,6.3,6.3,6.3,1000
1999-03-02,6.3,6.3,6.3,6.3,10000
1999-03-05,6.4,6.4,6.4,6.4,10000
1999-03-08,6.5,6.5,6.5,6.5,5000
1999-03-09,6.3,6.3,6.3,6.3,1000
1999-03-10,6.2,6.3,6.1,6.3,29000
1999-03-12,6.3,6.3,6.3,6.3,2000
1999-03-15,6.1,6.1,6.1,6.1,1000
1999-03-17,6.3,6.5,6.3,6.5,30000
1999-03-18,6.6,6.8,6.6,6.8,23000
1999-03-19,6.6,6.6,6.6,6.6,11000
1999-03-23,6.8,7.0,6.8,7.0,24000
1999-03-26,6.7,6.7,6.7,6.7,280000
1999-03-29,6.8,6.8,6.8,6.8,3000
1999-03-30,6.7,6.7,6.7,6.7,5000
1999-03-31,7.5,7.5,6.9,7.3,11000
1999-04-05,6.8,6.8,6.8,6.8,7000
1999-04-06,6.9,7.0,6.9,7.0,28000
1999-04-07,6.9,7.4,6.9,7.4,77000
1999-04-08,7.2,7.7,7.2,7.6,68000
1999-04-12,7.8,7.8,7.7,7.8,43000
1999-04-13,7.9,9.0,7.9,8.8,335000
1999-04-14,9.0,9.7,9.0,9.5,553000
1999-04-15,9.3,9.7,9.1,9.2,376000
1999-04-16,9.0,9.5,9.0,9.5,57000
1999-04-20,10.0,13.75,10.0,13.0,2238400
1999-04-21,13.0,13.5,12.0,13.0,1198200
1999-04-22,13.25,15.25,13.25,15.25,1233700
1999-04-23,15.5,15.75,14.25,14.25,1174100
1999-04-26,14.25,15.0,14.25,14.25,706200
1999-04-27,14.5,14.5,13.25,14.0,447500
1999-04-28,14.75,15.5,14.75,15.25,1195500
1999-04-29,15.5,16.75,15.5,16.5,2082000
1999-04-30,16.75,18.0,16.75,18.0,1211600
1999-05-03,18.0,18.5,18.0,18.0,7543100
1999-05-04,18.5,18.75,18.5,18.75,7650700
1999-05-05,18.5,18.5,18.0,18.0,1119500
1999-05-06,18.0,18.5,18.0,18.25,624400
1999-05-07,18.25,18.75,18.25,18.25,949000
1999-05-10,18.25,18.5,18.0,18.25,838000
1999-05-11,18.0,18.25,18.0,18.25,875800
1999-05-12,18.25,18.25,18.0,18.25,693100
1999-05-13,18.25,18.5,18.0,18.0,160200
1999-05-14,18.0,19.25,17.5,19.25,3296000
1999-05-17,19.0,20.0,18.5,20.0,3624000
1999-05-19,20.5,23.0,20.5,22.5,4909600
1999-05-20,22.5,22.5,20.0,21.5,4356800
1999-05-25,20.0,20.0,19.0,19.0,331200
1999-05-26,18.0,19.0,18.0,18.0,71700
1999-05-27,19.0,19.0,18.5,18.5,2026800
1999-05-28,17.5,18.0,17.25,18.0,97000
1999-05-31,18.0,18.25,17.25,17.25,110600
1999-06-01,17.0,17.0,16.0,16.75,334100
1999-06-02,16.75,17.5,16.75,17.25,149800
1999-06-03,17.5,17.75,17.25,17.25,215600
1999-06-04,17.5,17.5,17.25,17.25,88600
1999-06-07,17.5,17.5,17.25,17.25,80100
1999-06-08,17.0,17.0,16.75,17.0,52500
1999-06-09,18.5,18.5,16.5,16.5,80300
1999-06-10,16.5,16.5,16.5,16.5,49200
1999-06-11,16.25,16.25,16.25,16.25,700
1999-06-14,16.25,16.25,16.25,16.25,5000
1999-06-15,16.25,16.25,15.5,15.5,38100
1999-06-16,15.25,15.25,15.25,15.25,1400
1999-06-17,16.0,16.0,14.5,14.5,166200
1999-06-18,14.5,14.5,14.5,14.5,3100
1999-06-21,14.25,14.75,14.25,14.75,13500
1999-06-22,17.25,17.25,15.0,15.0,145200
1999-06-23,15.0,15.5,14.75,15.5,288300
1999-06-24,15.5,16.5,15.5,16.5,40500
1999-06-25,16.75,16.75,16.25,16.25,193900
1999-06-28,16.5,16.5,16.25,16.25,187800
1999-06-29,16.5,16.5,16.0,16.25,627200
1999-06-30,16.0,16.5,16.0,16.0,240000
1999-07-01,16.25,16.75,16.25,16.75,305300
1999-07-02,17.0,17.0,16.5,16.75,46600
1999-07-05,16.75,17.25,16.75,17.0,40900
1999-07-06,16.75,16.75,16.0,16.5,155600
1999-07-07,16.75,16.75,16.5,16.5,151500
1999-07-08,16.5,16.75,16.5,16.75,128300
1999-07-09,16.75,17.0,16.75,17.0,106700
1999-07-12,16.75,17.0,16.75,17.0,39600
1999-07-13,17.0,17.0,17.0,17.0,27000
1999-07-14,17.0,17.0,16.75,17.0,101800
1999-07-15,17.0,17.0,16.75,16.75,1500
1999-07-16,17.0,17.0,16.75,16.75,142000
1999-07-19,16.5,16.5,16.5,16.5,244200
1999-07-20,16.5,16.75,16.5,16.5,30600
1999-07-21,16.5,16.5,16.5,16.5,34200
1999-07-22,16.75,16.75,16.5,16.5,98000
1999-07-26,15.0,15.0,15.0,15.0,25200
1999-07-27,15.0,15.0,15.0,15.0,25000
1999-07-28,15.0,15.25,15.0,15.25,52000
1999-07-29,15.25,15.25,15.25,15.25,700
1999-07-30,15.25,15.5,15.25,15.5,17000
1999-08-04,15.0,15.0,15.0,15.0,50000
1999-08-05,15.0,15.25,15.0,15.25,3500
1999-08-06,15.0,15.25,15.0,15.25,8800
1999-08-09,15.25,15.5,15.25,15.5,1800
1999-08-10,15.25,15.25,15.0,15.0,30000
1999-08-12,14.5,14.5,14.0,14.0,30000
1999-08-13,14.0,14.0,14.0,14.0,13100
1999-08-16,14.0,14.5,14.0,14.5,12900
1999-08-17,13.0,13.0,13.0,13.0,6000
1999-08-19,13.0,13.0,13.0,13.0,24000
1999-08-20,13.0,13.0,12.75,12.75,46500
1999-08-23,14.0,14.0,14.0,14.0,1000
1999-08-24,12.5,14.0,12.5,14.0,43700
1999-08-27,13.75,14.0,13.75,14.0,144500
1999-08-30,12.5,12.5,12.5,12.5,300
1999-08-31,12.0,12.5,12.0,12.5,16100
1999-09-01,12.0,12.25,12.0,12.25,4000
1999-09-06,12.25,12.75,12.25,12.75,6100
1999-09-07,12.5,12.75,12.5,12.75,3100
1999-09-08,12.75,13.0,12.75,13.0,1400
1999-09-09,13.0,13.0,13.0,13.0,2000
1999-09-10,13.0,13.0,12.5,12.5,13000
1999-09-14,12.5,13.0,12.5,13.0,10000
1999-09-21,12.5,12.5,12.5,12.5,10000
1999-09-22,12.5,12.5,12.5,12.5,2300
1999-09-23,12.0,12.0,12.0,12.0,900
1999-09-27,12.0,12.5,12.0,12.0,63200
1999-09-28,12.0,12.0,12.0,12.0,600
1999-09-29,12.0,12.0,12.0,12.0,1200
1999-09-30,12.0,12.0,12.0,12.0,7800
1999-10-01,12.5,12.5,12.5,12.5,900
1999-10-04,12.5,12.5,12.5,12.5,4000
1999-10-06,11.0,11.0,11.0,11.0,50300
1999-10-08,10.25,10.5,10.25,10.5,500
1999-10-11,11.0,11.0,11.0,11.0,10000
1999-10-12,11.0,11.0,11.0,11.0,1700
1999-10-14,10.0,10.0,10.0,10.0,3000
1999-10-15,11.0,11.0,11.0,11.0,3000
1999-10-19,11.0,11.0,10.5,11.0,23600
1999-10-20,11.0,11.75,11.0,11.5,97600
1999-10-21,11.5,11.5,11.0,11.0,41300
1999-10-22,11.0,11.5,11.0,11.0,47800
1999-10-25,10.75,10.75,10.5,10.75,85500
1999-10-26,10.5,11.0,10.5,11.0,23400
1999-10-27,10.75,10.75,10.25,10.25,38900
1999-10-28,10.5,10.5,10.5,10.5,24800
1999-11-04,10.5,10.5,10.5,10.5,700
1999-11-05,10.5,10.5,10.5,10.5,300
