date,open,high,low,close,volume
1999-02-17,0.68,0.68,0.68,0.68,30000
1999-02-22,0.8,0.8,0.8,0.8,20000
1999-03-02,0.9,0.9,0.9,0.9,20000
1999-03-05,0.8,0.8,0.8,0.8,40000
1999-03-15,0.8,0.8,0.8,0.8,70000
1999-05-04,1.2,1.2,1.2,1.2,70000
1999-06-02,1.58,1.58,1.58,1.58,1000
1999-06-04,1.2,1.2,1.2,1.2,1000
1999-06-08,1.2,1.2,1.2,1.2,30000
1999-06-09,1.2,1.24,1.2,1.24,40000
1999-06-11,1.2,1.24,1.2,1.24,30000
1999-06-16,1.2,1.2,1.2,1.2,40000
1999-06-17,1.2,1.24,1.2,1.24,16000
1999-06-28,0.0042,0.0044,0.0042,0.0044,84000000
1999-06-29,0.0044,0.005,0.0044,0.0048,85000000
1999-06-30,0.0048,0.0055,0.0048,0.005,38000000
1999-07-01,0.005,0.005,0.0048,0.0048,115000000
1999-07-05,0.0046,0.0046,0.0046,0.0046,5000000
1999-07-07,0.0046,0.0046,0.0042,0.0042,24000000
1999-07-08,0.0042,0.0046,0.0042,0.0046,28000000
1999-07-09,0.0046,0.005,0.0046,0.005,208000000
1999-07-12,0.0055,0.0075,0.0055,0.006999999999999999,910000000
1999-07-13,0.0075,0.008,0.0065,0.0065,272000000
1999-07-14,0.0065,0.0065,0.0055,0.0055,42000000
1999-07-15,0.006,0.006,0.0055,0.006,86000000
1999-07-16,0.006,0.0065,0.006,0.0065,33000000
1999-07-19,0.006,0.006,0.006,0.006,17000000
1999-07-20,0.0055,0.0055,0.0055,0.0055,62000000
1999-07-21,0.005,0.005,0.0046,0.0046,113000000
1999-07-22,0.0048,0.005,0.004,0.0048,73000000
1999-07-26,0.004,0.0046,0.004,0.0046,54000000
1999-07-27,0.004,0.004,0.004,0.004,5000000
1999-07-29,0.0042,0.0042,0.0042,0.0042,20000000
1999-07-30,0.005,0.005,0.005,0.005,31000000
1999-08-04,0.005,0.0055,0.005,0.0055,110000000
1999-08-05,0.0055,0.006,0.0055,0.0055,112000000
1999-08-06,0.0055,0.0055,0.005,0.005,63000000
1999-08-09,0.005,0.005,0.005,0.005,10000000
1999-08-10,0.0044,0.0044,0.0044,0.0044,5000000
1999-08-11,0.0044,0.0046,0.0044,0.0044,40000000
1999-08-12,0.005,0.005,0.005,0.005,18000000
1999-08-16,0.005,0.005,0.005,0.005,23000000
1999-08-17,0.005,0.005,0.005,0.005,11000000
1999-08-18,0.0044,0.0044,0.0044,0.0044,10000000
1999-08-19,0.0044,0.0044,0.0044,0.0044,2000000
1999-08-20,0.0044,0.0044,0.0044,0.0044,17000000
1999-08-23,0.005,0.005,0.005,0.005,15000000
1999-08-24,0.005,0.005,0.005,0.005,31000000
1999-08-25,0.005,0.005,0.005,0.005,17000000
1999-08-26,0.0048,0.0048,0.0048,0.0048,2000000
1999-08-30,0.0046,0.0046,0.0044,0.0044,20000000
1999-09-01,0.004,0.004,0.004,0.004,29000000
1999-09-02,0.004,0.004,0.004,0.004,2000000
1999-09-07,0.004,0.004,0.004,0.004,12000000
1999-09-08,0.004,0.004,0.004,0.004,2000000
1999-09-09,0.004,0.0044,0.004,0.0044,23000000
1999-09-10,0.004,0.004,0.004,0.004,23000000
1999-09-14,0.0044,0.0044,0.0044,0.0044,26000000
1999-09-17,0.004,0.004,0.004,0.004,1000000
1999-09-20,0.004,0.004,0.004,0.004,2000000
1999-09-21,0.004,0.004,0.004,0.004,8000000
1999-09-22,0.0042,0.006,0.0042,0.006,174000000
1999-09-24,0.005,0.0055,0.005,0.005,43000000
1999-09-27,0.0044,0.0044,0.0044,0.0044,20000000
1999-09-28,0.005,0.005,0.0048,0.005,62000000
1999-09-29,0.005,0.005,0.005,0.005,3000000
1999-09-30,0.0055,0.0055,0.0055,0.0055,30000000
1999-10-01,0.0055,0.0055,0.005,0.005,22000000
1999-10-04,0.005,0.005,0.005,0.005,2000000
1999-10-05,0.0055,0.0055,0.0055,0.0055,70000000
1999-10-06,0.0055,0.006,0.0055,0.0055,30000000
1999-10-07,0.0055,0.0055,0.005,0.005,23000000
1999-10-08,0.005,0.005,0.005,0.005,23000000
1999-10-11,0.005,0.005,0.005,0.005,54000000
1999-10-12,0.005,0.005,0.0048,0.0048,6000000
1999-10-14,0.004,0.004,0.004,0.004,6000000
1999-10-15,0.004,0.004,0.004,0.004,13000000
1999-10-21,0.004,0.0042,0.004,0.0042,8000000
1999-10-26,0.004,0.004,0.004,0.004,26000000
1999-10-28,0.005,0.005,0.005,0.005,2000000
1999-11-10,0.004,0.0042,0.004,0.004,49000000
1999-11-11,0.004,0.0042,0.004,0.004,9000000
1999-11-12,0.0042,0.0042,0.0042,0.0042,20000000
1999-11-16,0.0046,0.005,0.0046,0.0048,32000000
1999-11-18,0.0042,0.0044,0.0042,0.0044,14000000
1999-11-19,0.0044,0.0046,0.0044,0.0046,49000000
1999-11-22,0.0046,0.0046,0.0046,0.0046,3000000
1999-11-24,0.0046,0.0046,0.0044,0.0044,10000000
1999-11-25,0.0046,0.0065,0.0046,0.0055,278000000
1999-11-26,0.006,0.0065,0.006,0.006,336000000
1999-11-29,0.0065,0.009000000000000001,0.0065,0.006999999999999999,1229000000
1999-12-01,0.008,0.0085,0.006999999999999999,0.006999999999999999,443000000
1999-12-02,0.006999999999999999,0.006999999999999999,0.0055,0.0055,176000000
1999-12-03,0.006,0.0065,0.006,0.0065,186000000
1999-12-06,0.006999999999999999,0.0095,0.006999999999999999,0.0095,2849000000
1999-12-07,0.01,0.013999999999999999,0.0095,0.013000000000000001,6997000000
1999-12-08,0.013999999999999999,0.013999999999999999,0.009000000000000001,0.0095,5121600000
1999-12-09,0.01,0.01,0.0085,0.009000000000000001,1115000000
1999-12-10,0.009000000000000001,0.009000000000000001,0.008,0.0085,928000000
1999-12-13,0.0085,0.0085,0.0075,0.0075,483000000
1999-12-14,0.0075,0.008,0.0075,0.0075,229000000
1999-12-15,0.0075,0.008,0.0075,0.0075,451000000
1999-12-16,0.0075,0.0075,0.006999999999999999,0.006999999999999999,299000000
1999-12-17,0.006999999999999999,0.006999999999999999,0.0065,0.006999999999999999,99000000
1999-12-20,0.0065,0.006999999999999999,0.0065,0.006999999999999999,159000000
1999-12-21,0.006999999999999999,0.0085,0.006999999999999999,0.0085,382000000
1999-12-22,0.0085,0.009000000000000001,0.008,0.008,565000000
1999-12-23,0.008,0.008,0.008,0.008,46000000
