date,open,high,low,close,volume
1999-02-17,0.68,0.68,0.68,0.68,30000
1999-02-22,0.8,0.8,0.8,0.8,20000
1999-03-01,0.71,0.71,0.71,0.71,1000
1999-05-11,0.6,0.65,0.6,0.65,140000
1999-05-12,0.65,0.65,0.63,0.63,20000
1999-05-13,0.6,0.6,0.6,0.6,20000
1999-05-20,0.7,0.7,0.7,0.7,30000
1999-05-21,0.6,0.6,0.6,0.6,20000
1999-06-02,0.6,0.6,0.6,0.6,20000
1999-06-10,0.52,0.52,0.52,0.52,10000
1999-06-21,0.6,0.6,0.6,0.6,20000
1999-07-05,0.85,0.9,0.85,0.9,40000
1999-07-06,1.1,1.34,1.1,1.34,120000
1999-07-07,1.9,2.0,1.9,2.0,119000
1999-07-08,3.0,3.0,3.0,3.0,198000
1999-07-09,3.0,4.0,2.6,2.7,672000
1999-07-12,3.0,3.0,2.3,2.3,212000
1999-07-14,2.3,3.0,2.3,2.6,370000
1999-07-15,2.7,2.7,2.4,2.4,100000
1999-07-16,2.4,2.4,2.4,2.4,14000
1999-07-19,2.4,2.4,2.28,2.28,12000
1999-07-20,2.28,2.28,1.98,1.98,94000
1999-07-21,2.0,2.0,2.0,2.0,50000
1999-07-22,1.9,1.9,1.9,1.9,18000
1999-07-23,1.9,1.9,1.9,1.9,10000
1999-07-28,1.9,1.9,1.88,1.9,30000
1999-07-29,1.4,1.5,1.4,1.5,20000
1999-07-30,1.84,1.84,1.84,1.84,10000
1999-08-04,1.9,2.4,1.9,2.3,177000
1999-08-09,1.9,1.9,1.9,1.9,30000
1999-08-12,2.0,2.0,2.0,2.0,62000
1999-08-13,2.02,2.1,2.02,2.1,29000
1999-08-17,2.1,2.1,2.1,2.1,32000
1999-08-18,2.2,2.4,2.2,2.2,364000
1999-08-20,2.24,2.24,2.24,2.24,14000
1999-08-23,2.24,2.24,2.2,2.2,40000
1999-08-25,2.1,2.1,2.1,2.1,7000
1999-08-26,2.2,2.2,2.2,2.2,28000
1999-08-27,2.04,2.04,2.04,2.04,11000
1999-08-30,2.0,2.0,2.0,2.0,10000
1999-08-31,2.0,2.0,2.0,2.0,45000
1999-09-01,1.96,1.96,1.96,1.96,5000
1999-09-09,2.02,2.02,2.02,2.02,10000
1999-09-13,2.06,2.06,2.06,2.06,10000
1999-09-14,2.06,2.1,2.06,2.1,41000
1999-09-17,2.0,2.0,1.92,1.92,24000
1999-09-20,1.88,1.9,1.88,1.88,23000
1999-09-22,2.0,2.0,2.0,2.0,2000
1999-09-24,2.0,2.14,2.0,2.14,38000
1999-09-27,2.2,2.2,2.2,2.2,10000
1999-10-01,2.1,2.1,2.1,2.1,10000
1999-10-05,2.0,2.0,2.0,2.0,10000
1999-10-11,2.2,2.3,2.2,2.3,39000
1999-10-12,2.3,2.3,2.3,2.3,5000
1999-10-14,2.0,2.1,2.0,2.1,18000
1999-10-18,2.0,2.0,2.0,2.0,20000
1999-10-20,2.0,2.0,2.0,2.0,2000
1999-11-11,2.0,2.0,2.0,2.0,5000
1999-11-12,2.0,2.0,2.0,2.0,3000
1999-11-24,1.7,1.88,1.7,1.88,20000
1999-11-26,2.1,2.3,2.1,2.3,20000
1999-12-03,2.0,2.0,2.0,2.0,32000
1999-12-06,2.3,2.3,2.3,2.3,10000
1999-12-07,2.55,2.55,2.55,2.55,20000
1999-12-08,2.0,2.4,2.0,2.3,177000
1999-12-09,2.3,2.3,2.3,2.3,10000
1999-12-10,2.3,2.6,2.3,2.5,153000
1999-12-13,2.6,2.6,2.48,2.55,36000
1999-12-14,2.55,2.55,2.55,2.55,2000
1999-12-16,2.48,2.48,2.46,2.46,7000
1999-12-17,2.3,2.3,2.3,2.3,40000
1999-12-28,2.3,2.3,2.26,2.26,4000
2000-01-05,1.9,2.2,1.8,2.2,95000
2000-01-06,2.2,2.2,2.2,2.2,10000
2000-01-17,2.2,2.2,2.2,2.2,5000
2000-01-18,2.0,2.0,2.0,2.0,25000
2000-01-19,1.8,1.8,1.8,1.8,12000
2000-01-28,1.8,1.8,1.8,1.8,20000
2000-02-07,2.0,2.0,2.0,2.0,22000
2000-02-15,2.0,2.0,2.0,2.0,30000
2000-02-21,2.0,2.0,2.0,2.0,40000
2000-02-24,2.0,2.2,2.0,2.1,20000
2000-03-07,2.1,2.1,2.1,2.1,29000
2000-03-09,2.2,3.0,2.2,2.5,178000
2000-03-10,2.5,3.0,2.5,2.8,158000
2000-03-13,2.95,4.2,2.95,3.2,666000
2000-03-14,3.2,3.4,3.2,3.3,92000
2000-03-15,3.3,3.75,3.2,3.7,316000
2000-03-16,4.0,4.0,3.3,3.3,199000
2000-03-17,3.9,4.2,3.6,3.85,1288000
2000-03-20,3.85,3.85,3.45,3.45,200000
2000-03-21,3.55,3.85,3.5,3.85,143000
2000-03-22,3.85,3.9,3.65,3.65,191000
2000-03-23,3.7,3.7,3.65,3.65,106000
2000-03-24,3.65,3.65,3.6,3.65,130000
2000-03-27,3.7,3.8,3.7,3.7,135000
2000-03-28,3.85,4.6,3.85,4.2,676000
2000-03-29,4.3,4.3,3.9,3.95,321000
2000-03-30,3.95,3.95,3.9,3.95,25000
2000-03-31,3.9,3.95,3.6,3.75,125000
2000-04-03,3.6,3.6,3.35,3.35,70000
2000-04-04,3.3,3.45,3.3,3.45,29000
2000-04-05,3.5,3.5,3.5,3.5,5000
2000-04-06,3.5,3.5,3.4,3.4,12000
2000-04-07,3.4,3.5,3.4,3.5,20000
2000-04-10,3.4,3.4,3.25,3.25,23000
2000-04-11,3.25,3.25,3.25,3.25,17000
2000-04-12,3.35,3.4,3.35,3.4,20000
2000-04-13,3.4,3.4,3.25,3.25,9000
2000-04-14,3.4,3.4,3.1,3.15,35000
2000-04-18,3.15,3.15,3.15,3.15,10000
2000-04-19,3.4,3.45,3.25,3.45,13000
2000-04-24,3.5,3.5,3.2,3.2,3000
2000-04-25,3.1,3.1,3.0,3.0,10000
2000-04-26,3.25,3.3,2.9,3.3,9000
2000-05-02,3.3,3.3,3.1,3.25,51000
2000-05-03,3.0,3.2,2.8,2.9,84000
2000-05-05,2.9,2.9,2.9,2.9,5000
2000-05-08,2.8,2.8,2.6,2.6,23000
2000-05-16,3.1,3.1,3.1,3.1,2000
2000-05-17,3.2,3.2,3.0,3.05,18000
2000-05-25,2.4,3.0,2.4,3.0,28000
2000-05-26,3.0,3.05,3.0,3.05,7000
2000-05-29,2.0,2.0,1.6,1.6,252000
