date,open,high,low,close,volume
1999-03-22,6.0,6.0,6.0,6.0,2000
1999-03-25,6.0,6.0,6.0,6.0,3000
1999-04-20,5.5,5.6,5.5,5.5,65000
1999-04-21,5.5,5.5,5.5,5.5,5000
1999-04-23,5.5,5.5,5.5,5.5,10000
1999-04-26,5.5,5.5,5.5,5.5,10000
1999-04-30,5.5,5.5,5.5,5.5,10000
1999-05-05,5.5,5.5,5.5,5.5,5000
1999-05-11,5.5,6.0,5.5,6.0,6000
1999-05-13,5.5,5.5,5.5,5.5,10000
1999-05-14,5.5,5.5,5.5,5.5,10000
1999-05-24,5.5,5.5,5.5,5.5,10000
1999-05-25,5.5,5.5,5.5,5.5,10000
1999-05-28,5.5,5.5,5.5,5.5,10000
1999-06-04,5.0,5.0,5.0,5.0,6462000
1999-06-11,5.5,5.5,5.5,5.5,10000
1999-06-17,5.5,5.5,5.5,5.5,3000
1999-06-23,5.5,5.5,5.5,5.5,31000
1999-06-24,5.5,5.5,5.5,5.5,5000
1999-07-21,5.5,5.5,5.5,5.5,28000
1999-08-04,4.0,4.0,4.0,4.0,22000
1999-08-25,5.5,5.5,5.5,5.5,1000
1999-10-07,4.0,4.0,4.0,4.0,5000
1999-10-15,4.5,4.5,4.5,4.5,5000
1999-12-10,4.5,4.5,4.5,4.5,10000
1999-12-13,4.5,4.5,4.5,4.5,3000
1999-12-15,4.5,4.5,4.5,4.5,10000
1999-12-17,4.5,4.5,4.5,4.5,5000
1999-12-29,6.7,6.7,6.7,6.7,1000
2000-01-06,6.5,6.5,6.5,6.5,10000
2000-01-25,5.5,5.5,5.1,5.1,15000
2000-02-09,5.1,5.1,5.1,5.1,3000
2000-02-11,5.1,5.1,5.1,5.1,1000
2000-02-14,4.55,4.55,4.5,4.5,14000
2000-02-15,4.5,4.5,4.5,4.5,22000
2000-02-16,4.5,4.5,4.5,4.5,13000
2000-02-17,4.5,4.5,4.5,4.5,26000
2000-02-18,4.5,4.5,4.5,4.5,10000
2000-02-22,4.5,4.5,4.5,4.5,5000
2000-02-29,4.5,4.5,4.5,4.5,10000
2000-03-07,4.5,4.5,4.5,4.5,5000
2000-03-16,4.5,4.5,4.5,4.5,10000
2000-04-13,4.5,4.5,4.5,4.5,5000
2000-04-17,4.2,4.2,4.2,4.2,45000
2000-04-26,4.2,4.2,4.2,4.2,20000
2000-04-27,4.2,4.2,4.2,4.2,10000
2000-05-17,4.2,4.2,4.2,4.2,25000
2000-05-22,4.2,4.2,4.2,4.2,12000
2000-05-25,4.2,4.2,4.2,4.2,20000
2000-06-01,4.2,4.2,4.2,4.2,20000
2000-06-02,4.2,4.2,4.2,4.2,40000
2000-06-06,4.2,4.2,4.2,4.2,5000
2000-06-08,4.2,4.2,4.2,4.2,10000
2000-06-13,4.2,4.2,4.2,4.2,13000
2000-06-14,4.2,4.2,4.0,4.0,26000
2000-06-15,4.2,4.2,4.2,4.2,10000
2000-06-16,4.0,4.0,4.0,4.0,1000
2000-06-19,4.0,4.0,4.0,4.0,8000
2000-06-21,4.0,4.0,4.0,4.0,35000
2000-06-28,4.0,4.0,4.0,4.0,15000
2000-06-30,4.0,4.0,4.0,4.0,14000
2000-07-03,4.2,4.2,3.9,3.9,15000
2000-07-04,4.0,4.0,3.9,3.9,10000
2000-07-07,4.0,4.0,4.0,4.0,1000
2000-07-11,4.0,4.0,4.0,4.0,11000
2000-07-20,4.0,4.0,4.0,4.0,20000
2000-07-21,4.0,4.0,4.0,4.0,20000
2000-07-24,4.0,4.0,4.0,4.0,20000
2000-07-27,4.0,4.0,4.0,4.0,54000
2000-07-28,4.0,4.0,4.0,4.0,1000
