date,open,high,low,close,volume
1999-04-23,5.0,6.0,5.0,6.0,5000
1999-04-26,6.2,9.0,6.0,9.0,449000
1999-04-27,10.0,10.75,9.1,9.7,92000
1999-05-03,11.0,12.5,11.0,12.5,179000
1999-05-05,10.5,11.5,10.5,11.5,81000
1999-05-06,11.5,12.5,11.5,12.0,73500
1999-05-07,12.0,12.5,11.5,11.5,121000
1999-05-10,12.5,12.5,11.5,11.5,4000
1999-05-11,11.5,13.0,11.5,11.75,450500
1999-05-12,12.0,13.0,12.0,12.0,130100
1999-05-13,12.0,12.25,12.0,12.0,85000
1999-05-14,13.0,13.0,11.75,11.75,185000
1999-05-17,13.0,13.0,12.25,12.25,50100
1999-05-18,12.25,12.25,12.25,12.25,3000
1999-05-19,12.25,12.25,12.25,12.25,3000
1999-05-20,12.5,12.5,12.0,12.0,77000
1999-05-21,12.5,12.5,12.0,12.0,85600
1999-05-24,12.75,16.0,12.25,15.0,173900
1999-05-25,14.0,14.5,13.75,14.0,114200
1999-05-26,14.0,14.0,13.75,13.75,3000
1999-05-27,15.0,16.0,14.5,14.5,187000
1999-05-28,14.5,14.5,14.5,14.5,17000
1999-05-31,14.25,14.25,12.0,12.0,43800
1999-06-01,13.0,13.5,13.0,13.5,30500
1999-06-02,12.5,14.0,12.5,14.0,20100
1999-06-03,13.25,14.25,13.25,13.5,22000
1999-06-04,13.0,13.5,12.5,12.5,28400
1999-06-07,12.5,12.75,12.5,12.5,23400
1999-06-08,13.25,13.75,13.0,13.75,55900
1999-06-09,13.25,13.5,13.25,13.5,12900
1999-06-17,14.0,14.25,14.0,14.0,43000
1999-06-18,14.0,14.5,14.0,14.5,78400
1999-06-21,14.5,14.5,14.5,14.5,5000
1999-06-22,14.0,14.0,13.75,13.75,6000
1999-06-23,14.0,14.25,13.75,13.75,28700
1999-06-24,15.0,18.0,14.0,15.5,254400
1999-06-25,17.0,17.25,16.25,16.5,140700
1999-06-28,16.5,16.5,16.25,16.25,6000
1999-06-29,17.0,17.25,17.0,17.0,35100
1999-06-30,17.0,18.5,17.0,18.5,166200
