date,open,high,low,close,volume
2019-11-07,1027.0,1036.0,1025.0,1035.0,20235
2019-11-08,1033.0,1036.0,1033.0,1036.0,11930
2019-11-11,1031.0,1034.0,1031.0,1031.0,1690
2019-11-12,1030.0,1034.0,1030.0,1032.0,3160
2019-11-13,1031.0,1033.0,1030.0,1031.0,5585
2019-11-14,1032.0,1032.0,1030.0,1030.0,1145
2019-11-15,1029.0,1029.0,1021.0,1024.0,5720
2019-11-18,1024.0,1024.0,1023.0,1023.0,1800
2019-11-19,1023.0,1030.0,1023.0,1030.0,90
2019-11-20,1025.0,1030.0,1025.0,1030.0,3210
2019-11-21,1030.0,1030.0,1025.0,1025.0,2020
2019-11-22,1028.0,1028.0,1025.0,1026.0,310
2019-11-25,1029.0,1029.0,1028.0,1028.0,455
2019-11-26,1027.0,1029.0,1024.0,1024.0,1355
2019-11-27,1029.0,1030.0,1025.0,1029.0,21530
2019-11-28,1025.0,1025.0,1024.0,1024.0,805
2019-11-29,1026.0,1028.0,1024.0,1028.0,110
2019-12-02,1028.0,1028.0,1025.0,1025.0,330
2019-12-03,1025.0,1029.0,1025.0,1026.0,240
2019-12-04,1028.0,1028.0,1025.0,1025.0,230
2019-12-05,1026.0,1028.0,1026.0,1027.0,825
2019-12-06,1028.0,1028.0,1026.0,1028.0,795
2019-12-09,1026.0,1026.0,1020.0,1020.0,2890
2019-12-11,1028.0,1028.0,1028.0,1028.0,1855
2019-12-12,1020.0,1028.0,1020.0,1025.0,285
2019-12-13,1022.0,1025.0,1022.0,1025.0,6050
2019-12-16,1028.0,1028.0,1014.0,1014.0,110
2019-12-17,1027.0,1031.0,1027.0,1031.0,3860
2019-12-18,1029.0,1030.0,1029.0,1030.0,260
2019-12-19,1023.0,1029.0,1020.0,1029.0,330
2019-12-20,1030.0,1030.0,1030.0,1030.0,500
2019-12-23,1028.0,1031.0,1028.0,1031.0,4530
2019-12-26,1031.0,1040.0,1031.0,1040.0,10190
2019-12-27,1031.0,1035.0,1022.0,1022.0,4290
2020-01-02,1022.0,1034.0,1022.0,1034.0,55
2020-01-03,1030.0,1030.0,1024.0,1030.0,1565
2020-01-06,1029.0,1029.0,1025.0,1025.0,690
2020-01-07,1029.0,1029.0,1028.0,1028.0,2165
2020-01-08,1028.0,1028.0,1026.0,1027.0,1905
2020-01-09,1029.0,1030.0,1029.0,1030.0,4005
2020-01-10,1027.0,1030.0,1027.0,1029.0,685
2020-01-14,1029.0,1029.0,1029.0,1029.0,680
2020-01-15,1029.0,1030.0,1028.0,1028.0,4835
2020-01-16,1029.0,1029.0,1026.0,1026.0,1095
2020-01-17,1029.0,1030.0,1026.0,1026.0,330
2020-01-20,1030.0,1030.0,1030.0,1030.0,10
2020-01-21,1029.0,1029.0,1029.0,1029.0,40
2020-01-22,1026.0,1030.0,1026.0,1030.0,110
2020-01-23,1030.0,1030.0,1030.0,1030.0,5200
2020-01-24,1030.0,1030.0,1030.0,1030.0,990
2020-01-29,1031.0,1031.0,1030.0,1030.0,475
2020-01-30,1030.0,1040.0,1030.0,1040.0,550
2020-01-31,1040.0,1040.0,1030.0,1030.0,5590
2020-02-03,1031.0,1035.0,1031.0,1035.0,1650
2020-02-04,1040.0,1040.0,1031.0,1031.0,80
2020-02-05,1035.0,1035.0,1031.0,1031.0,990
2020-02-06,1037.0,1037.0,1033.0,1033.0,795
2020-02-07,1033.0,1033.0,1033.0,1033.0,350
2020-02-10,1032.0,1032.0,1031.0,1031.0,500
2020-02-11,1031.0,1054.0,1031.0,1054.0,5450
2020-02-12,1052.0,1052.0,1052.0,1052.0,450
2020-02-13,1055.0,1055.0,1050.0,1050.0,10575
2020-02-14,1032.0,1050.0,1030.0,1050.0,16805
2020-02-17,1050.0,1050.0,1050.0,1050.0,2730
2020-02-18,1050.0,1050.0,1050.0,1050.0,2030
2020-02-19,1050.0,1050.0,1050.0,1050.0,9505
2020-02-21,1050.0,1050.0,1050.0,1050.0,750
2020-02-24,1050.0,1050.0,1050.0,1050.0,3000
2020-02-26,1050.0,1050.0,1031.0,1050.0,7045
2020-02-27,1050.0,1050.0,1031.0,1035.0,6660
2020-02-28,1033.0,1033.0,1030.0,1030.0,22495
2020-03-02,1030.0,1030.0,1030.0,1030.0,100
2020-03-03,1035.0,1035.0,1035.0,1035.0,10
2020-03-05,1030.0,1044.0,1029.0,1044.0,3030
2020-03-06,1035.0,1044.0,1035.0,1044.0,5310
2020-03-09,1031.0,1044.0,1030.0,1030.0,6040
2020-03-10,1030.0,1030.0,1028.0,1028.0,4220
2020-03-11,1028.0,1028.0,1005.0,1028.0,8475
2020-03-12,1020.0,1020.0,1005.0,1006.0,28040
2020-03-13,1015.0,1015.0,1006.0,1010.0,1990
2020-03-16,1010.0,1010.0,1001.0,1010.0,2695
2020-03-19,1005.0,1005.0,995.0,1000.0,4795
2020-03-20,1000.0,1000.0,990.0,990.0,2370
2020-03-23,981.0,990.0,981.0,990.0,1650
2020-03-24,990.0,990.0,985.0,990.0,1070
2020-03-25,990.0,999.0,990.0,999.0,2790
2020-03-26,995.0,999.0,995.0,999.0,250
2020-03-27,991.0,998.0,990.0,998.0,2940
2020-03-30,998.0,998.0,998.0,998.0,10
2020-03-31,998.0,999.0,998.0,999.0,1090
2020-04-01,999.0,999.0,996.0,999.0,2110
2020-04-02,996.5,999.0,996.0,996.5,3060
2020-04-03,996.5,996.5,996.0,996.0,1950
2020-04-06,996.5,996.5,995.0,995.0,110
2020-04-07,995.0,995.0,993.0,993.0,8200
2020-04-08,996.5,999.0,995.0,995.0,1300
2020-04-13,996.0,996.0,996.0,996.0,190
2020-04-14,995.0,998.0,993.5,998.0,1460
2020-04-15,998.0,998.0,995.0,995.0,4330
2020-04-17,995.5,998.0,995.5,995.5,3030
2020-04-20,995.0,1000.0,995.0,1000.0,14840
2020-04-21,1000.0,1000.0,1000.0,1000.0,19255
2020-04-22,1000.0,1000.0,1000.0,1000.0,2200
2020-04-23,1000.0,1000.0,1000.0,1000.0,13760
2020-04-24,1005.0,1010.0,1005.0,1010.0,555
2020-04-27,1005.0,1005.0,1000.0,1000.0,4320
2020-04-28,1000.0,1000.0,996.0,1000.0,6415
2020-04-29,1000.0,1000.0,997.0,997.0,1590
2020-04-30,999.0,1000.0,998.0,998.0,1040
