date,open,high,low,close,volume
1999-02-23,0.5,0.5,0.5,0.5,20000
1999-03-02,0.4,0.43,0.4,0.42,60000
1999-03-04,0.43,0.43,0.43,0.43,10000
1999-03-08,0.43,0.44,0.43,0.44,170000
1999-03-10,0.43,0.43,0.43,0.43,10000
1999-03-11,0.44,0.45,0.44,0.45,70000
1999-03-24,0.5,0.5,0.5,0.5,10000
1999-03-26,0.5,0.5,0.5,0.5,20000
1999-03-29,0.43,0.43,0.43,0.43,10000
1999-03-30,0.43,0.43,0.43,0.43,490000
1999-03-31,0.43,0.43,0.43,0.43,100000
1999-04-07,0.4,0.46,0.4,0.46,70000
1999-04-20,0.45,0.45,0.45,0.45,180000
1999-04-21,0.45,0.45,0.45,0.45,10000
1999-04-23,0.5,0.55,0.5,0.55,320000
1999-04-26,0.5,0.58,0.5,0.58,60000
1999-04-27,0.6,0.6,0.6,0.6,80000
1999-04-28,0.55,0.55,0.55,0.55,30000
1999-04-30,0.53,0.55,0.53,0.55,80000
1999-05-03,0.55,0.55,0.55,0.55,50000
1999-05-04,0.56,0.56,0.56,0.56,20000
1999-05-05,0.58,0.58,0.58,0.58,10000
1999-05-06,0.58,0.6,0.58,0.6,170000
1999-05-07,0.63,0.65,0.63,0.63,200000
1999-05-10,0.59,0.59,0.59,0.59,80000
1999-05-13,0.6,0.6,0.6,0.6,20000
1999-05-14,0.66,0.67,0.66,0.67,190000
1999-05-17,0.67,0.67,0.67,0.67,70000
1999-05-18,0.67,0.67,0.67,0.67,100000
1999-05-19,0.66,0.66,0.66,0.66,150000
1999-05-20,0.64,0.64,0.64,0.64,60000
1999-05-26,0.6,0.6,0.6,0.6,10000
1999-06-01,0.55,0.55,0.55,0.55,30000
1999-06-02,0.6,0.6,0.6,0.6,10000
1999-06-08,0.6,0.6,0.6,0.6,40000
1999-06-15,0.61,0.65,0.61,0.65,20000
1999-06-16,0.61,0.61,0.61,0.61,20000
1999-06-17,0.61,0.61,0.6,0.6,300000
1999-06-21,0.6,0.6,0.6,0.6,90000
1999-06-22,0.59,0.59,0.59,0.59,50000
1999-06-25,0.61,0.72,0.6,0.68,1670000
1999-06-29,0.72,0.73,0.72,0.72,120000
1999-06-30,0.72,0.72,0.7,0.7,130000
1999-07-01,0.7,0.71,0.7,0.71,140000
1999-07-02,0.66,0.66,0.65,0.65,180000
1999-07-06,0.66,0.66,0.6,0.6,220000
1999-07-07,0.63,0.63,0.62,0.62,20000
1999-07-08,0.76,0.76,0.65,0.65,110000
1999-07-12,0.64,0.64,0.64,0.64,40000
1999-07-13,0.66,0.66,0.66,0.66,180000
1999-07-14,0.66,0.66,0.66,0.66,100000
1999-07-15,0.69,0.76,0.69,0.7,640000
1999-07-16,0.7,0.7,0.7,0.7,120000
1999-07-19,0.7,0.7,0.7,0.7,60000
1999-07-21,0.66,0.66,0.66,0.66,110000
1999-07-22,0.64,0.64,0.63,0.63,150000
1999-07-23,0.6,0.61,0.6,0.61,270000
1999-07-26,0.66,0.66,0.66,0.66,20000
1999-07-28,0.61,0.61,0.61,0.61,10000
1999-07-29,0.61,0.61,0.61,0.61,90000
1999-07-30,0.6,0.6,0.6,0.6,170000
1999-08-04,0.57,0.63,0.56,0.63,300000
1999-08-05,0.6,0.61,0.6,0.61,110000
1999-08-11,0.6,0.61,0.59,0.59,280000
1999-08-23,0.57,0.57,0.57,0.57,10000
1999-08-25,0.55,0.55,0.55,0.55,10000
1999-08-27,0.55,0.55,0.51,0.51,80000
1999-08-30,0.46,0.46,0.45,0.45,50000
1999-09-01,0.46,0.46,0.46,0.46,120000
1999-09-02,0.48,0.48,0.48,0.48,10000
1999-09-06,0.46,0.46,0.46,0.46,10000
1999-09-09,0.47,0.5,0.47,0.5,20000
1999-09-14,0.5,0.5,0.5,0.5,60000
1999-09-23,0.5,0.5,0.5,0.5,20000
1999-09-30,0.51,0.51,0.51,0.51,10000
1999-10-01,0.51,0.52,0.51,0.52,20000
1999-10-05,0.55,0.55,0.55,0.55,570000
1999-10-06,0.55,0.6,0.55,0.6,40000
1999-10-08,0.55,0.55,0.55,0.55,20000
1999-10-11,0.51,0.52,0.51,0.52,120000
1999-10-12,0.52,0.52,0.52,0.52,60000
1999-10-13,0.52,0.52,0.52,0.52,100000
1999-10-21,0.5,0.5,0.5,0.5,30000
1999-10-25,0.45,0.45,0.45,0.45,170000
1999-10-28,0.42,0.42,0.42,0.42,10000
1999-11-03,0.42,0.42,0.42,0.42,10000
1999-11-04,0.43,0.43,0.42,0.42,200000
1999-11-05,0.54,0.54,0.54,0.54,20000
1999-11-08,0.54,0.54,0.54,0.54,610000
1999-11-15,0.45,0.45,0.45,0.45,100000
1999-11-17,0.42,0.42,0.42,0.42,30000
1999-11-26,0.6,0.6,0.6,0.6,10000
1999-12-10,0.4,0.4,0.4,0.4,20000
1999-12-13,0.41,0.48,0.41,0.48,140000
1999-12-15,0.5,0.5,0.5,0.5,20000
1999-12-27,0.46,0.46,0.46,0.46,10000
1999-12-28,0.52,0.53,0.52,0.53,30000
2000-01-03,0.52,0.55,0.52,0.55,30000
2000-01-06,0.55,0.55,0.47,0.47,70000
2000-01-19,0.45,0.55,0.45,0.55,50000
2000-01-28,0.48,0.48,0.48,0.48,10000
2000-02-01,0.49,0.5,0.49,0.5,20000
2000-02-03,0.43,0.43,0.43,0.43,20000
2000-02-07,0.45,0.45,0.45,0.45,20000
2000-02-09,0.45,0.5,0.45,0.5,80000
2000-02-10,0.5,0.5,0.5,0.5,100000
2000-02-14,0.48,0.48,0.47,0.47,130000
2000-02-15,0.55,0.7,0.55,0.7,1320000
2000-02-16,0.7,0.7,0.7,0.7,450000
2000-02-18,0.7,0.9,0.7,0.87,1750000
2000-02-21,0.9,1.2,0.9,1.1,8540000
2000-02-22,1.24,1.24,0.9,0.97,4469000
2000-02-23,1.0,1.0,0.8,0.93,1690000
2000-02-24,0.9,0.9,0.78,0.78,1030000
2000-02-28,0.7,0.7,0.61,0.67,980000
2000-02-29,0.66,0.66,0.61,0.61,1230000
2000-03-01,0.6,0.64,0.59,0.59,620000
2000-03-02,0.6,0.6,0.6,0.6,40000
2000-03-03,0.56,0.56,0.55,0.55,40000
2000-03-06,0.56,0.6,0.56,0.6,30000
2000-03-07,0.6,0.6,0.55,0.55,340000
2000-03-08,0.55,0.55,0.55,0.55,10000
2000-03-09,0.6,0.6,0.6,0.6,340000
2000-03-10,0.61,0.61,0.6,0.6,200000
2000-03-13,0.5,0.59,0.5,0.59,450000
2000-03-14,0.6,0.6,0.59,0.59,60000
2000-03-15,0.65,0.65,0.65,0.65,30000
2000-03-16,0.65,0.65,0.65,0.65,20000
2000-03-17,0.59,0.59,0.59,0.59,30000
