date,open,high,low,close,volume
2005-03-22,248.0,248.0,234.0,241.0,6104400
2005-03-28,244.0,244.0,228.0,235.0,3813880
2005-03-29,233.0,233.0,228.0,230.0,3900800
2005-03-30,228.0,228.0,216.0,217.0,2565170
2005-03-31,217.0,228.0,217.0,228.0,5231270
2005-04-01,230.0,232.0,226.0,230.0,914090
2005-04-04,231.0,240.0,231.0,238.0,1866150
2005-04-05,239.0,240.0,235.0,237.0,747870
2005-04-06,235.0,249.0,235.0,247.0,2373370
2005-04-07,247.0,247.0,240.0,247.0,3142450
2005-04-08,246.0,246.0,241.0,245.0,942960
2005-04-11,247.0,247.0,239.0,244.0,1747010
2005-04-12,244.0,250.0,242.0,249.0,1545680
2005-04-13,249.0,250.0,248.0,250.0,1149400
2005-04-14,248.0,250.0,246.0,250.0,1265410
2005-04-15,247.0,249.0,246.0,248.0,1083220
2005-04-18,248.0,248.0,243.0,244.0,1915020
2005-04-19,244.0,246.0,242.0,246.0,2897900
2005-04-20,246.0,248.0,245.0,248.0,864020
2005-04-21,246.0,247.0,244.0,247.0,912500
2005-04-22,246.0,247.0,243.0,247.0,1235280
2005-04-25,245.0,247.0,245.0,247.0,227840
2005-04-26,246.0,247.0,246.0,247.0,358570
2005-04-27,245.0,247.0,245.0,246.0,288350
2005-04-28,246.0,250.0,246.0,250.0,1258480
2005-04-29,250.0,250.0,249.0,250.0,1220350
2005-05-03,249.0,249.0,247.0,248.0,860780
2005-05-04,248.0,250.0,248.0,250.0,661210
2005-05-05,250.0,250.0,249.0,250.0,477220
2005-05-06,250.0,250.0,249.0,250.0,170170
2005-05-09,250.0,250.0,249.0,250.0,650700
2005-05-10,250.0,250.0,249.0,250.0,274470
2005-05-11,249.0,250.0,248.0,250.0,1104630
2005-05-12,249.0,249.0,248.0,248.0,284690
2005-05-13,247.0,248.0,247.0,248.0,1271450
2005-05-16,248.0,248.0,247.0,248.0,686930
2005-05-17,247.0,248.0,246.0,248.0,860710
2005-05-18,247.0,248.0,246.0,248.0,702240
2005-05-19,248.0,248.0,247.0,248.0,563130
2005-05-20,247.0,248.0,246.0,248.0,1241060
2005-05-23,247.0,248.0,247.0,248.0,81550
2005-05-24,247.0,248.0,246.0,248.0,438670
2005-05-25,247.0,248.0,247.0,247.0,556940
2005-05-26,247.0,248.0,247.0,248.0,169100
2005-05-27,247.0,249.0,247.0,249.0,2315420
2005-05-30,248.0,250.0,248.0,250.0,597960
2005-05-31,249.0,250.0,249.0,250.0,313430
2005-06-01,250.0,250.0,249.0,250.0,121200
2005-06-02,250.0,252.5,250.0,252.5,1618510
2005-06-03,252.5,255.0,252.5,255.0,1013360
2005-06-06,252.5,255.0,252.5,255.0,301910
2005-06-07,255.0,255.0,252.5,255.0,225040
2005-06-08,252.5,255.0,252.5,255.0,363310
2005-06-09,249.0,255.0,248.0,255.0,1334870
2005-06-10,255.0,255.0,252.5,255.0,629760
2005-06-14,252.5,255.0,252.5,255.0,74780
2005-06-15,252.5,255.0,252.5,255.0,110280
2005-06-16,255.0,255.0,252.5,255.0,271040
2005-06-17,252.5,255.0,252.5,255.0,565190
2005-06-20,252.5,255.0,252.5,255.0,227650
2005-06-21,252.5,255.0,252.5,255.0,196190
2005-06-22,252.5,255.0,252.5,255.0,59730
2005-06-23,252.5,255.0,252.5,255.0,671060
2005-06-24,252.5,255.0,252.5,255.0,216490
2005-06-27,252.5,255.0,252.5,255.0,448550
2005-06-28,252.5,255.0,252.5,255.0,770240
2005-06-29,252.5,255.0,252.5,255.0,669030
2005-06-30,255.0,255.0,252.5,255.0,551320
2005-07-01,252.5,255.0,252.5,255.0,1763190
2005-07-04,252.5,255.0,248.0,249.0,2311440
