date,open,high,low,close,volume
2000-01-03,57.0,58.0,57.0,58.0,119900
2000-01-04,57.5,57.5,57.0,57.5,69700
2000-01-05,57.0,57.0,54.5,55.5,756600
2000-01-06,55.5,55.5,55.0,55.5,55200
2000-01-07,55.0,55.5,54.5,55.5,620100
2000-01-10,55.0,56.5,55.0,56.5,146000
2000-01-11,56.5,57.0,56.5,57.0,213200
2000-01-12,56.0,56.0,55.5,56.0,48900
2000-01-13,55.5,55.5,54.0,54.5,147300
2000-01-14,54.5,54.5,54.0,54.0,342100
2000-01-17,54.5,54.5,54.0,54.5,45900
2000-01-18,54.0,54.0,53.5,54.0,373800
2000-01-19,53.5,53.5,53.0,53.5,53000
2000-01-20,53.0,53.0,52.5,53.0,283100
2000-01-21,53.0,53.0,52.5,53.0,131600
2000-01-24,53.0,53.0,52.0,53.0,71300
2000-01-25,52.0,52.5,52.0,52.5,260800
2000-01-26,52.0,53.0,51.5,53.0,369000
2000-01-27,52.0,52.5,51.5,52.0,91900
2000-01-28,51.5,52.0,51.5,52.0,102200
2000-01-31,52.0,52.5,51.5,52.5,226800
2000-02-01,52.5,52.5,52.0,52.5,67900
2000-02-02,52.0,52.0,51.0,52.0,101200
2000-02-03,51.0,52.0,51.0,52.0,76800
2000-02-04,52.0,53.0,51.5,53.0,1084600
2000-02-07,51.5,52.5,51.5,52.5,149100
2000-02-08,52.0,52.5,51.5,52.5,344800
2000-02-09,52.0,52.0,51.5,52.0,81400
2000-02-10,51.5,52.0,51.0,52.0,241000
2000-02-11,51.5,52.0,51.0,52.0,153400
2000-02-14,52.0,52.0,51.0,52.0,105300
2000-02-15,51.5,51.5,51.0,51.5,49500
2000-02-16,51.0,51.0,49.5,51.0,239200
2000-02-17,50.5,51.0,50.0,51.0,68800
2000-02-18,50.5,51.0,50.5,51.0,34100
2000-02-21,50.5,50.5,48.0,50.5,685300
2000-02-22,49.5,49.5,48.5,49.5,280500
2000-02-23,49.5,50.0,49.5,50.0,102100
2000-02-24,49.5,50.0,48.0,50.0,329600
2000-02-28,49.0,50.0,48.0,50.0,577100
2000-02-29,49.0,49.0,46.5,47.0,1129300
2000-03-01,47.5,47.5,47.0,47.0,426800
2000-03-02,47.0,48.0,46.0,48.0,197300
2000-03-03,47.5,48.5,47.5,48.5,95900
2000-03-06,48.0,48.5,48.0,48.5,71000
2000-03-07,48.5,48.5,47.0,48.0,148800
2000-03-08,47.0,48.0,46.5,48.0,403600
2000-03-09,47.5,48.0,47.0,48.0,243200
2000-03-10,47.5,48.0,47.0,48.0,116800
2000-03-13,47.5,48.0,47.0,48.0,156400
2000-03-14,47.5,47.5,47.0,47.5,57800
2000-03-15,47.0,47.5,47.0,47.5,60800
2000-03-16,47.0,47.5,47.0,47.5,9600
2000-03-17,47.5,47.5,47.0,47.5,179200
2000-03-20,47.0,47.5,46.5,47.5,201500
2000-03-21,47.0,47.0,46.5,47.0,14900
2000-03-22,47.0,47.0,46.0,47.0,159100
2000-03-23,46.5,48.5,46.0,48.0,699100
