date,open,high,low,close,volume
2018-04-30,76.0,76.0,76.0,76.0,90
2018-05-03,76.0,76.05,75.2,75.2,2050
2018-05-07,77.0,77.0,77.0,77.0,10
2018-05-08,77.0,77.0,77.0,77.0,130
2018-05-09,76.9,76.9,76.9,76.9,60
2018-05-10,76.05,76.9,76.05,76.9,250
2018-05-11,76.95,77.0,76.95,77.0,69820
2018-05-15,77.0,77.0,76.9,76.9,270
2018-05-16,76.0,77.0,76.0,77.0,3970
2018-05-17,77.0,77.0,76.7,77.0,29890
2018-05-18,76.7,76.7,76.7,76.7,1380
2018-05-21,77.1,77.1,77.1,77.1,7720
2018-05-22,77.0,77.0,77.0,77.0,10000
2018-05-24,77.0,77.1,77.0,77.1,50
2018-05-25,77.1,77.1,77.1,77.1,30
2018-05-28,77.1,77.1,77.1,77.1,150
2018-05-29,77.45,77.45,77.35,77.35,370
2018-05-30,77.0,77.0,77.0,77.0,50
2018-05-31,76.0,76.9,75.5,76.9,18930
2018-06-01,76.5,77.0,76.5,77.0,9870
2018-06-05,77.0,77.0,76.6,76.6,120
2018-06-06,77.0,77.0,77.0,77.0,890
2018-06-07,77.0,77.0,77.0,77.0,310
2018-06-08,77.0,77.0,77.0,77.0,450
2018-06-11,77.0,77.0,77.0,77.0,9370
2018-06-13,76.6,78.0,76.6,77.5,3950
2018-06-14,77.0,77.0,75.2,76.0,60500
2018-06-18,76.0,76.5,76.0,76.5,3150
2018-06-19,75.25,76.4,75.25,76.4,110
2018-06-20,76.4,76.4,76.3,76.4,10000
2018-06-21,76.0,76.0,75.25,75.25,50
2018-06-22,75.3,76.4,75.25,76.0,820
2018-06-25,76.0,76.0,76.0,76.0,50
2018-06-26,75.5,76.0,75.3,76.0,1500
2018-06-27,76.3,76.3,76.3,76.3,20
2018-06-28,75.35,76.3,75.35,76.3,237220
2018-06-29,76.3,76.3,76.3,76.3,1220
2018-07-02,76.2,76.2,76.2,76.2,70
2018-07-03,76.3,76.3,76.3,76.3,30000
2018-07-04,76.3,76.3,76.3,76.3,10
2018-07-05,76.3,76.3,76.3,76.3,50
2018-07-06,76.3,76.3,76.3,76.3,20
2018-07-09,76.3,76.3,76.3,76.3,3620
2018-07-10,76.3,76.3,76.0,76.0,37140
2018-07-11,76.05,76.05,76.05,76.05,5000
2018-07-12,76.2,76.2,75.4,75.4,316160
2018-07-13,76.0,76.0,76.0,76.0,2300
2018-07-16,76.0,76.0,76.0,76.0,1190
2018-07-17,76.0,76.0,76.0,76.0,6200
2018-07-18,76.0,76.0,75.55,76.0,304870
2018-07-19,76.15,76.15,76.15,76.15,470
2018-07-20,76.15,76.15,76.15,76.15,10
2018-07-23,76.15,76.15,76.0,76.0,1520
2018-07-24,76.05,76.05,76.0,76.0,2270
2018-07-25,76.15,76.25,76.0,76.0,289910
2018-07-26,76.0,76.0,76.0,76.0,20560
2018-07-27,76.0,76.0,76.0,76.0,67240
2018-07-30,76.3,76.3,76.0,76.3,100560
2018-08-01,76.3,76.3,76.3,76.3,230
2018-08-02,76.3,76.3,76.3,76.3,3610
2018-08-03,77.4,77.4,76.1,77.4,26080
2018-08-06,77.35,77.35,77.35,77.35,100
2018-08-07,77.3,77.35,77.3,77.35,50
2018-08-08,77.35,77.4,76.05,76.05,7360
2018-08-09,91.0,91.0,77.0,77.5,2360
2018-08-10,76.55,76.6,76.55,76.6,820
2018-08-13,76.5,76.5,76.0,76.0,100000
2018-08-14,77.5,77.5,76.0,76.0,2410
2018-08-15,77.0,77.0,77.0,77.0,50
2018-08-16,76.0,77.0,76.0,77.0,16080
2018-08-17,77.0,77.0,77.0,77.0,20
2018-08-20,77.0,77.0,76.0,76.5,5220
2018-08-23,77.05,77.05,75.5,75.5,340000
2018-08-24,76.5,77.0,76.5,77.0,10930
2018-08-28,77.0,77.1,77.0,77.1,12590
2018-08-29,77.45,77.45,77.45,77.45,500
2018-08-30,76.05,77.45,76.05,77.45,1380
2018-08-31,77.4,77.4,76.05,77.4,1320080
2018-09-03,77.4,77.4,77.4,77.4,1100
2018-09-04,77.4,77.4,76.05,77.35,520320
2018-09-05,77.4,77.4,77.35,77.35,610
2018-09-06,77.2,77.2,77.2,77.2,120
2018-09-07,76.25,77.25,76.25,77.25,890050
2018-09-10,76.3,77.25,76.3,77.25,275820
2018-09-11,76.35,77.25,76.35,77.25,900130
2018-09-12,76.3,77.45,76.3,77.45,434270
2018-09-13,77.4,77.4,77.4,77.4,3520
2018-09-14,77.0,77.4,77.0,77.4,940
2018-09-17,77.45,77.45,77.0,77.45,230
2018-09-18,77.0,77.0,75.0,75.0,155560
2018-09-20,75.15,75.2,75.15,75.15,51500
2018-09-21,76.5,76.5,75.2,75.2,400
2018-09-24,75.2,75.2,75.0,75.1,70080
2018-09-25,75.1,75.15,75.1,75.15,3370
2018-09-26,75.15,75.15,75.1,75.1,6540
2018-09-27,75.15,75.15,75.0,75.0,31020
2018-09-28,76.45,76.45,76.45,76.45,80
2018-10-01,76.45,76.45,76.45,76.45,100
2018-10-02,75.5,75.5,75.05,75.05,2370
2018-10-03,75.05,75.05,75.0,75.0,1900
2018-10-04,75.0,75.0,75.0,75.0,10000
2018-10-08,76.45,76.45,76.45,76.45,770
2018-10-09,76.45,76.45,76.45,76.45,30
2018-10-11,76.2,76.2,75.0,75.0,82600
2018-10-12,76.0,76.0,75.5,75.5,350
2018-10-15,75.5,75.5,75.5,75.5,1000
2018-10-16,75.1,76.0,75.1,76.0,820
2018-10-17,76.0,76.0,76.0,76.0,150
2018-10-19,76.0,76.0,76.0,76.0,50
2018-10-22,76.0,76.0,75.15,75.5,1950
2018-10-23,75.15,75.15,75.15,75.15,4000
2018-10-24,75.15,75.15,75.1,75.1,33680
2018-10-25,75.1,75.1,75.1,75.1,1520
2018-10-26,75.1,75.1,75.05,75.05,1200
2018-10-29,75.8,75.9,75.8,75.9,790
2018-10-30,75.9,75.9,75.0,75.9,21060
2018-10-31,75.05,75.05,75.05,75.05,10
2018-11-05,75.05,75.05,75.0,75.0,31090
2018-11-06,75.9,75.9,75.9,75.9,80
2018-11-07,75.1,75.1,75.1,75.1,40
2018-11-08,75.9,75.9,75.9,75.9,1070
2018-11-09,76.1,76.1,76.1,76.1,10
2018-11-12,75.2,75.2,75.1,75.1,5050
2018-11-13,75.1,75.2,75.1,75.2,3260
2018-11-14,75.2,75.2,75.2,75.2,940
2018-11-15,76.0,76.0,75.5,75.5,2260
2018-11-16,75.7,75.7,75.3,75.3,2280
2018-11-19,75.3,75.3,75.3,75.3,570
2018-11-20,75.4,75.4,75.0,75.2,78890
2018-11-21,75.95,75.95,75.2,75.2,2350
2018-11-26,75.4,75.4,75.1,75.1,10180
2018-11-27,75.95,75.95,75.95,75.95,100
2018-11-28,75.95,75.95,75.95,75.95,80
2018-12-03,75.95,75.95,75.1,75.1,240
2018-12-06,75.5,75.95,75.0,75.9,10260
2018-12-07,75.95,75.95,75.95,75.95,3000
2018-12-10,75.9,75.9,75.9,75.9,100
2018-12-11,75.9,75.9,75.3,75.3,1410
2018-12-12,75.9,75.9,75.9,75.9,200
2018-12-13,75.9,75.95,75.9,75.95,1730
2018-12-14,75.15,75.15,75.15,75.15,600
2018-12-17,75.95,75.95,75.95,75.95,1700
2018-12-19,75.95,75.95,75.95,75.95,90
2018-12-21,75.9,75.9,75.2,75.2,320
2018-12-26,75.0,75.0,75.0,75.0,7000
2018-12-27,75.0,75.0,75.0,75.0,10490
2019-01-02,75.9,75.9,74.0,74.0,7230
2019-01-03,74.1,74.5,74.1,74.1,1120
2019-01-04,74.1,75.9,74.1,75.0,850
2019-01-07,75.9,75.9,75.85,75.85,1880
2019-01-08,75.05,75.05,75.0,75.0,2520
2019-01-10,75.45,75.45,75.2,75.25,2750
2019-01-11,75.4,75.4,75.4,75.4,460
2019-01-14,75.4,75.45,74.8,75.45,5520
2019-01-15,75.45,75.45,75.15,75.15,440
2019-01-16,75.45,75.45,75.4,75.4,1360
2019-01-17,75.4,75.4,75.35,75.35,7240
2019-01-18,75.35,75.35,75.25,75.25,5330
2019-01-21,75.25,75.35,75.25,75.35,890
2019-01-22,75.3,75.3,75.3,75.3,500
2019-01-23,75.25,75.25,75.25,75.25,760
2019-01-24,75.25,75.25,75.2,75.25,1020
2019-01-25,75.25,75.25,75.2,75.2,1010
2019-01-28,75.25,75.25,74.8,74.8,4420
2019-01-29,75.0,75.2,75.0,75.2,8690
2019-01-30,75.2,75.2,75.15,75.15,480
2019-01-31,75.15,75.15,75.1,75.1,4280
2019-02-01,75.2,75.2,75.15,75.15,1040
2019-02-04,75.05,75.15,75.05,75.15,6490
2019-02-06,75.15,75.25,75.15,75.25,950
2019-02-07,75.4,75.5,75.15,75.5,45340
2019-02-08,75.45,75.45,75.05,75.05,24580
2019-02-11,75.45,75.5,75.45,75.5,600
2019-02-12,75.5,75.5,75.5,75.5,670
2019-02-13,75.5,75.5,75.1,75.1,440
2019-02-15,75.5,75.5,75.1,75.1,80
2019-02-18,75.15,75.15,75.05,75.05,27620
2019-02-19,75.1,75.5,75.0,75.5,31870
2019-02-20,75.05,75.05,75.05,75.05,160
2019-02-21,75.5,75.5,75.05,75.05,20630
2019-02-22,75.45,75.45,75.1,75.45,1290
2019-02-26,75.45,75.45,75.45,75.45,20
2019-02-27,75.45,75.45,75.05,75.45,630
