date,open,high,low,close,volume
1999-02-04,0.9,0.9,0.9,0.9,200000
1999-02-15,0.88,0.88,0.88,0.88,100000
1999-02-17,0.9,0.9,0.9,0.9,90000
1999-02-18,0.9,0.9,0.9,0.9,110000
1999-02-19,0.9,0.9,0.9,0.9,300000
1999-02-22,0.9,0.9,0.9,0.9,210000
1999-02-24,0.9,0.9,0.9,0.9,130000
1999-02-26,0.89,0.89,0.89,0.89,150000
1999-03-01,0.88,0.89,0.88,0.89,240000
1999-03-02,0.9,0.95,0.9,0.92,1880000
1999-03-03,0.93,1.0,0.93,1.0,3270000
1999-03-04,1.0,1.04,1.0,1.0,1360000
1999-03-05,0.99,0.99,0.95,0.95,1340000
1999-03-08,0.95,0.95,0.94,0.95,310000
1999-03-09,0.98,0.98,0.96,0.98,450000
1999-03-10,0.96,0.96,0.96,0.96,110000
1999-03-12,0.96,0.96,0.96,0.96,340000
1999-03-15,0.96,0.96,0.95,0.95,210000
1999-03-16,0.95,0.95,0.95,0.95,10000
1999-03-17,0.95,0.95,0.94,0.94,130000
1999-03-18,0.94,0.98,0.94,0.94,130000
1999-03-23,0.94,0.95,0.94,0.95,360000
1999-03-24,0.94,0.94,0.94,0.94,810000
1999-03-25,0.94,0.94,0.94,0.94,260000
1999-03-26,0.94,0.94,0.94,0.94,60000
1999-03-30,0.94,0.94,0.94,0.94,20000
1999-04-05,0.95,0.95,0.95,0.95,300000
1999-04-06,0.99,0.99,0.95,0.95,170000
1999-04-07,0.96,0.97,0.96,0.97,120000
1999-04-08,0.98,0.99,0.98,0.99,900000
1999-04-12,1.0,1.04,1.0,1.02,940000
1999-04-13,1.0,1.02,1.0,1.02,460000
1999-04-14,0.98,1.14,0.98,1.1,1890000
1999-04-15,1.1,1.12,1.06,1.06,837000
1999-04-16,1.08,1.1,1.08,1.1,763000
1999-04-19,1.12,1.12,1.1,1.1,76000
1999-04-20,1.08,1.1,1.08,1.1,183000
1999-04-21,1.1,1.12,1.08,1.1,800000
1999-04-22,1.08,1.1,1.08,1.1,750000
1999-04-23,1.1,1.18,1.1,1.18,2514000
1999-04-26,1.2,1.26,1.2,1.24,1439000
1999-04-27,1.26,1.28,1.22,1.24,1981000
1999-04-28,1.2,1.32,1.2,1.3,1412000
1999-04-29,1.3,1.32,1.24,1.26,1768000
1999-04-30,1.26,1.3,1.26,1.26,672000
1999-05-03,1.24,1.26,1.24,1.26,519000
1999-05-04,1.26,1.26,1.24,1.24,2265000
1999-05-05,1.24,1.26,1.24,1.24,744000
1999-05-06,1.24,1.24,1.22,1.22,571000
1999-05-07,1.2,1.24,1.2,1.24,552000
1999-05-10,1.24,1.24,1.24,1.24,100000
1999-05-11,1.24,1.24,1.2,1.2,235000
1999-05-12,1.2,1.22,1.18,1.2,978000
1999-05-13,1.24,1.24,1.18,1.18,308000
1999-05-14,1.18,1.18,1.16,1.16,107000
1999-05-17,1.16,1.16,1.12,1.12,487000
1999-05-18,1.18,1.18,1.16,1.18,300000
1999-05-19,1.16,1.16,1.16,1.16,30000
1999-05-20,1.18,1.22,1.14,1.16,397000
1999-05-21,1.18,1.22,1.18,1.22,65000
1999-05-24,1.18,1.18,1.18,1.18,25000
1999-05-25,1.1,1.14,1.1,1.12,33000
1999-05-26,1.12,1.16,1.12,1.16,195000
1999-05-27,1.12,1.12,1.12,1.12,1000
1999-05-28,1.12,1.18,1.12,1.18,26000
