date,open,high,low,close,volume
1999-02-04,7.5,7.5,7.4,7.5,1960000
1999-02-05,7.5,7.5,7.4,7.4,4760000
1999-02-08,7.5,7.5,7.4,7.4,4760000
1999-02-09,7.5,7.5,7.4,7.4,4760000
1999-02-10,7.5,7.5,7.4,7.4,4760000
1999-02-11,7.5,7.5,7.4,7.4,4760000
1999-02-12,7.4,7.4,7.3,7.3,4325000
1999-02-15,7.4,7.4,7.3,7.4,2352000
1999-02-16,7.4,7.4,7.4,7.4,5000
1999-02-17,7.4,7.5,7.4,7.4,1457000
1999-02-18,7.4,7.6,7.4,7.5,1937000
1999-02-19,7.5,7.7,7.5,7.6,11894000
1999-02-22,7.7,7.7,7.6,7.6,3678000
1999-02-23,7.8,7.8,7.3,7.5,15637000
1999-02-24,7.4,7.5,7.3,7.3,3355000
1999-02-25,7.3,7.4,7.3,7.4,3751000
1999-02-26,7.4,7.5,7.4,7.5,5767000
1999-03-01,7.5,7.5,7.5,7.5,3916000
1999-03-02,7.5,7.6,7.5,7.5,830000
1999-03-03,7.6,7.9,7.6,7.8,10454000
1999-03-04,7.9,7.9,7.7,7.8,1376000
1999-03-05,7.8,7.8,7.7,7.8,5311000
1999-03-08,7.7,7.7,7.6,7.6,8540000
1999-03-09,7.6,7.8,7.6,7.8,6434000
1999-03-10,7.7,7.8,7.7,7.8,3278000
1999-03-11,7.7,7.7,7.6,7.6,1110000
1999-03-12,7.6,7.6,7.6,7.6,5062000
1999-03-15,7.6,7.7,7.6,7.6,716000
1999-03-16,7.6,7.7,7.6,7.6,9893000
1999-03-17,7.7,7.7,7.4,7.4,1388000
1999-03-18,7.5,7.7,7.5,7.6,2710000
1999-03-19,7.8,7.9,7.7,7.7,3660000
1999-03-22,7.6,7.6,7.6,7.6,4447000
1999-03-23,7.8,7.9,7.7,7.8,13507000
1999-03-24,7.6,7.9,7.6,7.9,7867000
1999-03-25,7.9,8.1,7.9,8.0,10516000
1999-03-26,8.1,8.2,8.1,8.2,9662000
1999-03-29,8.1,8.1,8.0,8.1,8240000
1999-03-30,8.0,8.0,7.8,7.9,5480000
1999-03-31,7.9,8.0,7.9,8.0,5841000
1999-04-05,8.0,8.1,8.0,8.0,7544000
1999-04-06,8.1,8.1,8.0,8.0,3658000
1999-04-07,8.2,8.3,8.2,8.3,15229000
1999-04-08,8.3,8.3,8.1,8.3,13595000
1999-04-12,8.3,8.8,8.3,8.8,18103000
1999-04-13,8.7,8.7,8.5,8.6,9341000
1999-04-14,8.6,8.7,8.6,8.6,11081000
1999-04-15,8.6,8.6,8.5,8.5,27153000
1999-04-16,8.5,8.6,8.3,8.4,9124000
1999-04-19,8.5,8.5,8.3,8.4,13077000
1999-04-20,8.3,8.8,8.3,8.8,24276000
1999-04-21,8.6,8.8,8.6,8.7,7290000
1999-04-22,8.8,8.8,8.7,8.7,9333000
1999-04-23,8.8,9.1,8.5,8.8,29308000
1999-04-26,8.8,8.8,8.7,8.8,6253000
1999-04-27,8.7,8.8,8.6,8.8,4042000
1999-04-28,8.8,8.8,8.7,8.8,1804000
1999-04-29,8.8,8.8,8.7,8.8,5949000
1999-04-30,8.7,8.7,8.5,8.6,10312000
1999-05-03,8.6,8.7,8.6,8.7,12405000
1999-05-04,8.9,8.9,8.8,8.8,3058000
1999-05-05,8.8,8.8,8.6,8.6,3027000
1999-05-06,8.7,8.7,8.6,8.6,8342000
1999-05-07,8.7,8.8,8.6,8.7,3695000
1999-05-10,8.8,9.2,8.7,9.1,13387000
1999-05-11,9.1,9.1,8.7,9.0,15331000
1999-05-12,9.0,9.1,8.9,9.1,13269000
1999-05-13,9.1,9.2,8.9,9.2,10452000
1999-05-14,9.1,9.2,8.9,8.9,6317000
1999-05-17,8.8,8.8,8.8,8.8,3553000
1999-05-18,9.0,9.0,8.8,8.9,4134000
1999-05-19,8.9,8.9,8.6,8.6,6969000
1999-05-20,8.9,8.9,8.2,8.3,7849000
1999-05-21,8.5,8.6,8.3,8.5,4648000
1999-05-24,8.4,8.5,8.3,8.5,6837000
1999-05-25,8.2,8.4,8.2,8.4,1035000
1999-05-26,8.4,8.6,8.4,8.6,2224000
1999-05-27,8.6,8.6,8.2,8.2,6367000
1999-05-28,8.2,8.3,8.2,8.3,3769000
1999-05-31,8.3,8.5,8.2,8.5,2683000
1999-06-01,8.4,8.8,8.4,8.8,5503000
1999-06-02,8.6,8.8,8.6,8.8,1695000
1999-06-03,8.7,8.7,8.4,8.4,1459000
1999-06-04,8.4,8.5,8.2,8.2,4736000
1999-06-07,8.3,8.5,8.3,8.5,3750000
1999-06-08,8.5,8.5,8.3,8.4,7514000
1999-06-09,8.3,8.3,7.9,8.0,11341000
1999-06-10,7.9,8.1,7.7,7.9,17123000
1999-06-11,8.0,8.0,7.7,7.9,11995000
1999-06-14,7.9,8.1,7.8,8.1,3635000
1999-06-15,8.0,8.2,8.0,8.2,4555000
1999-06-16,8.2,8.3,8.0,8.1,2574000
1999-06-17,8.2,8.4,8.2,8.3,3619000
1999-06-18,8.5,8.7,8.4,8.5,6357000
1999-06-21,8.5,8.6,8.4,8.4,4143000
