date,open,high,low,close,volume
1999-02-05,0.2,0.2,0.2,0.2,60000
1999-02-08,0.2,0.2,0.2,0.2,60000
1999-02-09,0.2,0.2,0.2,0.2,60000
1999-02-10,0.2,0.2,0.2,0.2,60000
1999-02-11,0.2,0.2,0.2,0.2,60000
1999-02-18,0.22,0.22,0.22,0.22,10000
1999-02-24,0.22,0.22,0.22,0.22,110000
1999-02-26,0.22,0.22,0.22,0.22,10000
1999-03-05,0.2,0.2,0.2,0.2,90000
1999-03-11,0.2,0.2,0.2,0.2,10000
1999-03-16,0.15,0.15,0.15,0.15,20000
1999-03-18,0.2,0.2,0.2,0.2,220000
1999-03-25,0.21,0.21,0.21,0.21,30000
1999-03-26,0.22,0.24,0.22,0.24,100000
1999-03-30,0.2,0.2,0.2,0.2,20000
1999-04-05,0.2,0.2,0.2,0.2,10000
1999-04-13,0.24,0.24,0.24,0.24,40000
1999-04-26,0.22,0.22,0.22,0.22,10000
1999-04-30,0.22,0.22,0.22,0.22,10000
1999-05-05,0.29,0.29,0.29,0.29,50000
1999-05-06,0.33,0.33,0.33,0.33,20000
1999-05-07,0.33,0.33,0.33,0.33,20000
1999-05-10,0.3,0.3,0.3,0.3,30000
1999-05-11,0.3,0.3,0.3,0.3,10000
1999-05-12,0.35,0.35,0.35,0.35,100000
1999-05-13,0.32,0.32,0.32,0.32,510000
1999-05-14,0.35,0.4,0.33,0.4,320000
1999-05-17,0.45,0.45,0.45,0.45,240000
1999-05-19,0.45,0.45,0.45,0.45,200000
1999-05-25,0.35,0.35,0.35,0.35,40000
1999-05-28,0.35,0.36,0.35,0.36,210000
1999-06-02,0.36,0.36,0.36,0.36,10000
1999-06-03,0.36,0.36,0.36,0.36,100000
1999-06-04,0.36,0.36,0.36,0.36,20000
1999-06-08,0.37,0.37,0.37,0.37,50000
1999-06-10,0.44,0.44,0.4,0.4,490000
1999-06-11,0.4,0.46,0.4,0.43,1200000
1999-06-14,0.43,0.43,0.43,0.43,10000
1999-06-15,0.43,0.43,0.43,0.43,120000
1999-06-16,0.43,0.43,0.43,0.43,100000
