date,open,high,low,close,volume
1999-02-04,0.16,0.16,0.16,0.16,680000
1999-02-05,0.17,0.17,0.17,0.17,2470000
1999-02-08,0.17,0.17,0.17,0.17,2470000
1999-02-09,0.17,0.17,0.17,0.17,2470000
1999-02-10,0.17,0.17,0.17,0.17,2470000
1999-02-11,0.17,0.17,0.17,0.17,2470000
1999-02-12,0.16,0.16,0.155,0.155,110000
1999-02-18,0.15,0.15,0.15,0.15,200000
1999-02-19,0.15,0.15,0.15,0.15,200000
1999-02-23,0.14,0.14,0.14,0.14,120000
1999-02-24,0.145,0.145,0.145,0.145,370000
1999-02-25,0.15,0.15,0.15,0.15,60000
1999-02-26,0.15,0.15,0.15,0.15,470000
1999-03-01,0.145,0.145,0.145,0.145,150000
1999-03-02,0.14,0.14,0.14,0.14,310000
1999-03-03,0.145,0.145,0.14,0.14,210000
1999-03-04,0.14,0.14,0.14,0.14,2170000
1999-03-09,0.14,0.15,0.14,0.14,120000
1999-03-11,0.14,0.14,0.14,0.14,600000
1999-03-15,0.14,0.14,0.14,0.14,80000
1999-03-16,0.14,0.14,0.14,0.14,2100000
1999-03-18,0.14,0.14,0.14,0.14,1540000
1999-03-19,0.14,0.14,0.14,0.14,550000
1999-03-22,0.14,0.14,0.14,0.14,50000
1999-03-23,0.14,0.14,0.14,0.14,30000
1999-03-24,0.14,0.15,0.14,0.15,330000
1999-03-25,0.15,0.15,0.15,0.15,80000
1999-03-26,0.15,0.15,0.15,0.15,120000
1999-03-29,0.155,0.165,0.15,0.16,2830000
1999-03-30,0.165,0.19,0.165,0.175,2280000
1999-03-31,0.175,0.195,0.175,0.19,2180000
1999-04-05,0.19,0.19,0.18,0.18,1740000
1999-04-06,0.175,0.175,0.17,0.17,220000
1999-04-07,0.18,0.18,0.18,0.18,310000
1999-04-08,0.17,0.17,0.17,0.17,30000
1999-04-12,0.18,0.18,0.17,0.17,500000
1999-04-13,0.17,0.175,0.17,0.175,250000
1999-04-14,0.18,0.185,0.18,0.18,350000
1999-04-15,0.175,0.175,0.175,0.175,200000
1999-04-16,0.18,0.18,0.18,0.18,5820000
1999-04-19,0.19,0.19,0.185,0.185,1210000
1999-04-20,0.185,0.185,0.18,0.18,740000
1999-04-21,0.18,0.18,0.175,0.175,250000
1999-04-22,0.17,0.175,0.17,0.175,680000
1999-04-23,0.175,0.175,0.17,0.17,800000
1999-04-26,0.17,0.17,0.17,0.17,180000
1999-04-27,0.17,0.17,0.17,0.17,610000
1999-04-28,0.16,0.16,0.16,0.16,40000
1999-04-29,0.165,0.175,0.165,0.175,250000
1999-04-30,0.175,0.175,0.17,0.175,1600000
1999-05-03,0.17,0.17,0.17,0.17,1320000
1999-05-04,0.16,0.16,0.16,0.16,1970000
1999-05-05,0.165,0.165,0.165,0.165,700000
1999-05-06,0.17,0.175,0.17,0.17,1310000
1999-05-07,0.2,0.25,0.2,0.25,18500000
1999-05-10,0.25,0.25,0.21,0.22,4070000
1999-05-11,0.22,0.22,0.19,0.19,1860000
1999-05-12,0.2,0.235,0.2,0.235,1890000
1999-05-13,0.25,0.25,0.23,0.23,3150000
1999-05-14,0.23,0.23,0.23,0.23,440000
1999-05-17,0.22,0.22,0.22,0.22,980000
1999-05-18,0.205,0.205,0.2,0.2,750000
1999-05-19,0.21,0.21,0.205,0.205,580000
1999-05-20,0.205,0.205,0.2,0.2,1960000
1999-05-21,0.2,0.2,0.2,0.2,420000
1999-05-24,0.22,0.22,0.21,0.21,940000
1999-05-25,0.2,0.2,0.19,0.19,1610000
1999-05-26,0.19,0.2,0.19,0.2,750000
1999-05-27,0.18,0.215,0.18,0.215,1510000
1999-05-28,0.205,0.205,0.195,0.195,750000
1999-05-31,0.195,0.195,0.195,0.195,200000
1999-06-01,0.195,0.195,0.195,0.195,620000
1999-06-02,0.2,0.205,0.2,0.2,550000
1999-06-03,0.195,0.195,0.195,0.195,200000
1999-06-04,0.195,0.195,0.195,0.195,320000
1999-06-07,0.19,0.19,0.19,0.19,550000
1999-06-08,0.19,0.19,0.18,0.18,250000
1999-06-09,0.18,0.185,0.17,0.18,1830000
1999-06-10,0.18,0.18,0.18,0.18,400000
1999-06-11,0.18,0.185,0.175,0.185,1520000
1999-06-14,0.17,0.18,0.17,0.18,1380000
1999-06-15,0.185,0.205,0.185,0.205,910000
1999-06-16,0.195,0.195,0.195,0.195,310000
1999-06-18,0.195,0.195,0.19,0.19,100000
1999-06-21,0.205,0.22,0.205,0.22,2740000
1999-06-22,0.23,0.25,0.23,0.235,6170000
1999-06-23,0.235,0.235,0.22,0.22,4700000
1999-06-24,0.205,0.21,0.205,0.21,390000
1999-06-25,0.21,0.21,0.2,0.2,210000
1999-06-28,0.21,0.21,0.205,0.21,620000
1999-06-29,0.21,0.27,0.21,0.26,20520000
1999-06-30,0.26,0.29,0.24,0.24,10000000
1999-07-01,0.26,0.27,0.25,0.26,3460000
1999-07-02,0.24,0.24,0.23,0.23,1670000
1999-07-05,0.235,0.25,0.235,0.235,1460000
1999-07-06,0.235,0.24,0.235,0.24,1350000
1999-07-07,0.25,0.26,0.24,0.24,4730000
1999-07-08,0.24,0.31,0.24,0.3,20050000
1999-07-09,0.3,0.32,0.26,0.27,5910000
1999-07-12,0.27,0.28,0.27,0.27,4630000
1999-07-13,0.26,0.27,0.26,0.26,3370000
1999-07-14,0.26,0.26,0.25,0.25,2200000
1999-07-15,0.25,0.28,0.25,0.27,2000000
1999-07-16,0.27,0.28,0.26,0.27,2330000
1999-07-19,0.27,0.28,0.27,0.28,2840000
1999-07-20,0.26,0.26,0.26,0.26,110000
1999-07-21,0.26,0.26,0.22,0.22,6600000
1999-07-22,0.24,0.24,0.22,0.22,3310000
1999-07-23,0.22,0.22,0.2,0.2,3300000
1999-07-26,0.2,0.2,0.2,0.2,670000
1999-07-27,0.2,0.2,0.2,0.2,1150000
1999-07-28,0.22,0.22,0.21,0.21,500000
1999-07-29,0.22,0.22,0.21,0.22,1570000
1999-07-30,0.22,0.22,0.22,0.22,300000
1999-08-02,0.23,0.23,0.22,0.22,1350000
1999-08-04,0.23,0.24,0.23,0.24,2200000
1999-08-05,0.22,0.23,0.22,0.23,1510000
1999-08-06,0.22,0.22,0.22,0.22,2000000
1999-08-09,0.21,0.21,0.21,0.21,1200000
1999-08-10,0.21,0.21,0.21,0.21,400000
1999-08-11,0.21,0.21,0.21,0.21,350000
1999-08-12,0.21,0.21,0.21,0.21,1850000
1999-08-13,0.22,0.22,0.22,0.22,100000
1999-08-16,0.21,0.21,0.21,0.21,80000
1999-08-17,0.2,0.2,0.2,0.2,1470000
1999-08-18,0.2,0.2,0.2,0.2,300000
1999-08-20,0.21,0.22,0.21,0.22,200000
1999-08-24,0.22,0.22,0.22,0.22,50000
1999-08-25,0.22,0.26,0.22,0.24,1940000
1999-08-26,0.22,0.22,0.22,0.22,600000
1999-08-27,0.21,0.21,0.21,0.21,20000
1999-08-30,0.21,0.22,0.21,0.22,510000
1999-08-31,0.21,0.21,0.2,0.2,550000
1999-09-01,0.21,0.21,0.21,0.21,740000
1999-09-03,0.2,0.2,0.2,0.2,140000
1999-09-07,0.2,0.2,0.2,0.2,30000
1999-09-08,0.2,0.2,0.2,0.2,100000
1999-09-09,0.21,0.21,0.2,0.205,2330000
1999-09-10,0.21,0.22,0.21,0.21,500000
1999-09-13,0.2,0.2,0.2,0.2,620000
1999-09-14,0.19,0.2,0.19,0.2,3070000
1999-09-17,0.2,0.2,0.2,0.2,640000
1999-09-20,0.2,0.2,0.2,0.2,170000
1999-09-21,0.2,0.2,0.195,0.2,2300000
1999-09-22,0.21,0.22,0.21,0.21,1000000
1999-09-24,0.21,0.215,0.21,0.215,100000
1999-09-27,0.215,0.22,0.215,0.22,3350000
1999-09-28,0.24,0.25,0.23,0.23,9180000
1999-09-29,0.25,0.27,0.24,0.24,14970000
1999-09-30,0.24,0.245,0.235,0.24,5480000
1999-10-01,0.25,0.26,0.25,0.26,6410000
