date,open,high,low,close,volume
1999-02-04,0.44,0.47,0.43,0.45,3470000
1999-02-05,0.46,0.47,0.43,0.43,700000
1999-02-08,0.46,0.47,0.43,0.43,700000
1999-02-09,0.46,0.47,0.43,0.43,700000
1999-02-10,0.46,0.47,0.43,0.43,700000
1999-02-11,0.46,0.47,0.43,0.43,700000
1999-02-12,0.43,0.45,0.42,0.42,170000
1999-02-15,0.43,0.44,0.41,0.42,520000
1999-02-16,0.43,0.45,0.43,0.45,1570000
1999-02-17,0.47,0.47,0.47,0.47,110000
1999-02-18,0.42,0.46,0.42,0.46,360000
1999-02-19,0.43,0.43,0.42,0.42,150000
1999-02-23,0.41,0.42,0.39,0.42,4170000
1999-02-24,0.42,0.42,0.41,0.42,1220000
1999-02-25,0.4,0.42,0.4,0.42,360000
1999-02-26,0.4,0.42,0.4,0.42,700000
1999-03-01,0.39,0.42,0.39,0.42,160000
1999-03-02,0.39,0.39,0.39,0.39,230000
1999-03-03,0.4,0.42,0.39,0.39,150000
1999-03-04,0.39,0.4,0.39,0.39,340000
1999-03-10,0.4,0.4,0.4,0.4,30000
1999-03-11,0.34,0.36,0.34,0.36,200000
1999-03-12,0.4,0.42,0.38,0.38,990000
1999-03-15,0.4,0.49,0.4,0.49,5720000
1999-03-16,0.49,0.49,0.44,0.45,1900000
1999-03-17,0.44,0.44,0.42,0.42,570000
1999-03-18,0.43,0.46,0.42,0.42,960000
1999-03-19,0.45,0.46,0.43,0.44,960000
1999-03-22,0.44,0.46,0.44,0.46,170000
1999-03-23,0.46,0.46,0.46,0.46,70000
1999-03-24,0.46,0.46,0.44,0.44,1230000
1999-03-25,0.45,0.45,0.45,0.45,90000
1999-03-26,0.43,0.44,0.43,0.44,290000
1999-03-29,0.42,0.45,0.42,0.43,460000
1999-03-30,0.44,0.46,0.41,0.43,840000
1999-03-31,0.43,0.45,0.42,0.44,1640000
1999-04-05,0.43,0.43,0.4,0.43,2340000
1999-04-06,0.44,0.44,0.4,0.43,1780000
1999-04-07,0.42,0.44,0.41,0.44,960000
1999-04-08,0.43,0.44,0.43,0.44,180000
1999-04-12,0.44,0.44,0.42,0.44,3090000
1999-04-13,0.44,0.44,0.4,0.4,630000
1999-04-14,0.41,0.42,0.41,0.42,740000
1999-04-15,0.43,0.44,0.4,0.4,1670000
1999-04-16,0.4,0.42,0.4,0.42,670000
1999-04-19,0.42,0.43,0.4,0.42,2230000
1999-04-20,0.4,0.44,0.4,0.42,1310000
1999-04-21,0.4,0.4,0.39,0.4,370000
1999-04-22,0.39,0.4,0.38,0.39,1010000
1999-04-23,0.41,0.41,0.39,0.39,2700000
1999-04-26,0.4,0.4,0.39,0.4,3870000
1999-04-27,0.4,0.42,0.4,0.42,2680000
1999-04-28,0.43,0.44,0.4,0.4,2110000
1999-04-29,0.41,0.42,0.4,0.42,400000
1999-04-30,0.43,0.43,0.4,0.4,1310000
1999-05-03,0.42,0.42,0.4,0.41,1110000
1999-05-04,0.42,0.43,0.4,0.4,4140000
1999-05-05,0.42,0.44,0.42,0.43,2060000
1999-05-06,0.44,0.48,0.43,0.47,7620000
1999-05-07,0.48,0.49,0.45,0.46,3740000
1999-05-10,0.49,0.49,0.45,0.46,1060000
1999-05-11,0.46,0.47,0.45,0.46,2220000
1999-05-12,0.45,0.47,0.45,0.47,1350000
1999-05-13,0.46,0.47,0.45,0.46,2490000
1999-05-14,0.46,0.48,0.46,0.47,4000000
1999-05-17,0.47,0.47,0.46,0.46,280000
